District,Inactive BC,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Anjaw,0,498,498,8411,3
Changlang,0,6606,6331,73476,32
Dibang Valley,0,29,28,5892,29
East Kameng,2,3148,1912,59487,30
East Siang,16,9362,5873,53776,124
Kamle,0,58,58,5566,3
Kra Daadi,0,578,578,6161,28
Kurung Kumey,0,864,580,24742,55
Lepa Rada,0,946,807,15029,47
Lohit,0,3687,3211,35319,266
Longding,0,3192,3192,22019,19
Lower Dibang Valley,28,2527,2318,33955,202
Lower Siang,16,4266,4266,8900,10
Lower Subansiri,2,3053,2458,39743,265
Namsai,1,8123,2687,41354,220
Pakke Kessang,0,38,38,3173,4
Papum Pare,142,16400,8319,185427,972
Shi Yomi,0,406,371,7204,0
Siang,0,932,932,5777,1
Tawang,0,1880,620,34793,24
Tirap,0,3486,2910,38937,16
Upper Siang,0,284,228,24902,61
Upper Subansiri,0,4183,2352,46193,101
West Kameng,4,3102,2188,51110,160
West Siang,2,2551,1754,36007,57
