district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,1,0,0,0
Changlang,106,22,10,0,0,0
Dibang Valley,1,0,0,0,0,0
East Kameng,53,205,3,0,0,0
East Siang,43,273,31,0,0,0
Kamle,1,4,2,0,0,0
Kra Daadi,0,3,1,0,0,0
Kurung Kumey,14,10,5,0,0,0
Lepa Rada,116,114,63,2,0,2
Lohit,16,25,7,0,0,0
Longding,0,20,9,0,0,0
Lower Dibang Valley,10,12,2,0,0,0
Lower Siang,25,271,140,0,0,0
Lower Subansiri,52,151,34,0,0,0
Namsai,22,49,16,0,0,0
Pakke Kessang,18,7,18,1,0,1
Papum Pare,431,2606,402,0,0,0
Shi Yomi,3,3,3,0,0,0
Siang,0,5,4,0,0,0
Tawang,23,46,7,0,0,0
Tirap,15,19,17,0,0,0
Upper Siang,4,5,3,0,0,0
Upper Subansiri,56,238,19,0,0,0
West Kameng,38,149,94,3,0,3
West Siang,49,314,31,2,0,2
