district,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,362,0,0,0,0,0,0,26,0,2,390
Changlang,755,0,0,10,142,8,0,138,0,2,1055
Dibang Valley,170,0,0,0,0,0,0,6,0,0,176
East Kameng,463,0,0,11,228,19,23,18,0,0,762
East Siang,503,0,0,50,115,28,9,439,2,13,1159
Kamle,202,0,0,0,0,0,0,18,0,0,220
Kra Daadi,551,0,0,0,50,15,7,125,0,1,749
Kurung Kumey,204,0,0,0,76,0,0,21,0,1,302
Lepa Rada,266,0,0,2,18,8,1,117,0,0,412
Lohit,1122,0,0,4,17,2,10,71,0,0,1226
Longding,1574,0,0,0,0,0,0,52,0,3,1629
Lower Dibang Valley,390,0,0,33,378,3,5,102,0,0,911
Lower Siang,378,0,0,4,138,17,18,154,0,1,710
Lower Subansiri,487,0,0,4,84,16,18,195,2,5,811
Namsai,1179,0,0,28,23,8,2,872,2,2,2116
Pakke Kessang,216,0,0,0,0,0,0,16,0,1,233
Papum Pare,1177,1,0,223,149,20,28,353,3,96,2050
Shi Yomi,140,0,0,0,208,0,0,0,0,0,348
Siang,157,0,0,1,56,16,2,154,0,0,386
Tawang,529,0,0,1,3,0,0,97,0,0,630
Tirap,1091,0,0,0,157,0,0,12,0,1,1261
Upper Siang,244,0,0,0,58,7,0,183,0,0,492
Upper Subansiri,878,0,0,0,185,27,10,144,0,4,1248
West Kameng,998,0,0,0,11,2,0,161,0,11,1183
West Siang,607,0,0,0,164,15,10,311,1,23,1131
