District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,16,318,40,374,4.33
Changlang,457,1176,59,1692,1.9
Dibang Valley,5,177,12,194,0.69
East Kameng,127,374,92,593,11.19
East Siang,244,936,328,1508,5.2
Kamle,47,341,48,436,10.47
Kra Daadi,296,386,63,745,14.91
Kurung Kumey,110,386,37,533,6.99
Lepa Rada,145,306,45,496,4.14
Lohit,212,706,74,992,6.61
Longding,281,935,37,1253,12.25
Lower Dibang Valley,180,454,132,766,2.73
Lower Siang,65,502,44,611,7.14
Lower Subansiri,378,799,232,1409,10.38
Namsai,2189,1097,131,3417,8.72
Pakke Kessang,84,378,8,470,7.22
Papum Pare,1178,2274,1345,4797,18.17
Shi Yomi,2,39,12,53,11.07
Siang,54,205,29,288,8.23
Tawang,153,677,192,1022,4.63
Tirap,280,945,40,1265,3.37
Upper Siang,71,399,36,506,0.59
Upper Subansiri,161,581,166,908,18.47
West Kameng,315,1004,355,1674,5.73
West Siang,217,711,166,1094,8.22
