district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,94,576,670,5
Changlang,0,0,22,1026,4499,5547,86
Dibang Valley,0,0,0,57,490,547,66
East Kameng,0,0,205,571,2769,3545,167
East Siang,0,2,275,2790,9742,12809,233
Kamle,0,0,4,50,222,276,5
Kra Daadi,0,0,3,132,478,613,6
Kurung Kumey,0,0,10,126,949,1085,21
Lepa Rada,0,0,114,417,1428,1959,77
Lohit,1,2,24,1092,3703,4822,47
Longding,0,0,20,314,1737,2071,46
Lower Dibang Valley,5,0,12,826,3996,4839,80
Lower Siang,0,0,271,299,1547,2117,25
Lower Subansiri,0,0,150,1461,4731,6342,354
Namsai,1,1,49,1023,4231,5305,182
Pakke Kessang,0,0,7,102,433,542,1
Papum Pare,4,17,2616,12805,37685,53127,2035
Shi Yomi,0,0,3,20,201,224,19
Siang,0,0,5,183,495,683,8
Tawang,3,0,46,736,3642,4427,79
Tirap,0,0,19,648,2698,3365,32
Upper Siang,0,0,5,334,1353,1692,50
Upper Subansiri,0,0,238,791,3033,4062,122
West Kameng,2,1,151,1308,6325,7787,156
West Siang,1,0,313,1255,4882,6451,116
