District,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1384,0,624,760,1384,45,134.4,1151,219,804
Changlang,46655,686,21263,26074,47337,2557,1901.45,40488,5403,16933
Dibang Valley,412,30,248,194,442,21,175.2,307,7,277
East Kameng,5241,9442,6551,8130,14681,1101,794.05,10035,2613,8547
East Siang,43541,26021,33458,37478,70936,10932,3225.79,47869,8311,31644
Kamle,1315,0,504,811,1315,15,125.21,1139,26,914
Kra Daadi,2897,0,1078,1817,2895,53,180.84,3077,254,1618
Kurung Kumey,2846,639,1578,1906,3484,534,331.75,3025,630,1610
Lepa Rada,3014,430,1690,1753,3443,345,260.73,1877,778,1567
Lohit,6026,6366,5625,6766,12391,1136,625.03,9197,2779,6933
Longding,10135,0,3358,6776,10134,217,472.73,8226,1867,6773
Lower Dibang Valley,4596,9754,6866,7484,14350,1217,811.16,11822,2022,8134
Lower Siang,39649,0,19679,19968,39647,9825,896.88,14989,3818,14922
Lower Subansiri,6989,5131,5471,6641,12112,635,1190.85,8874,2268,6066
Namsai,15730,20001,15517,20211,35728,2897,1670.15,28372,7713,25692
Pakke Kessang,481,0,243,238,481,4,21.05,232,3,329
Papum Pare,30785,25430,28847,34218,63065,5834,3502.19,45488,15217,35266
Shi Yomi,1470,0,674,796,1470,119,420.13,1670,326,591
Siang,4991,0,2665,2324,4989,136,577.93,2571,832,2511
Tawang,4194,1286,2996,2483,5479,513,810.28,4145,1635,3279
Tirap,14555,0,6017,8584,14601,511,1121.33,13393,2703,8841
Upper Siang,4515,236,2237,2514,4751,232,540.83,1405,182,3360
Upper Subansiri,6824,13269,9290,10735,20025,2532,1660.49,14703,3360,11372
West Kameng,15340,47,7133,8253,15386,916,1275.44,11241,2142,8446
West Siang,5080,9668,8432,8403,16835,1289,1580.88,8938,1641,8780
