District,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,10,0,0,0,0,3,0,12,0,12,1
Changlang,40,1,0,0,0,11,1,71,1,28,0
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,3,0,0,0,0,10,5,22,3,6,0
East Siang,99,8,1,2,0,19,11,112,1,17,0
Kamle,3,1,0,0,0,8,7,3,0,14,0
Kra Daadi,144,18,4,0,0,12,6,161,4,15,0
Kurung Kumey,15,2,2,0,0,11,0,31,3,31,0
Lepa Rada,39,6,3,0,0,11,3,54,3,40,1
Lohit,70,5,0,1,0,10,1,216,0,30,3
Longding,1,0,0,0,0,5,1,1,0,7,0
Lower Dibang Valley,37,0,0,1,0,9,2,70,0,11,0
Lower Siang,44,2,0,0,0,10,6,55,0,51,0
Lower Subansiri,152,9,3,1,0,82,37,210,4,22,1
Namsai,252,2,1,0,0,48,44,299,3,39,1
Pakke Kessang,14,0,0,0,0,4,0,14,0,3,0
Papum Pare,262,17,54,6,2,631,216,344,66,90,4
Shi Yomi,0,0,0,0,0,5,2,0,0,23,0
Siang,36,4,1,0,0,5,5,41,1,17,0
Tawang,29,6,1,0,0,24,1,31,1,60,1
Tirap,5,0,0,0,0,6,2,8,0,8,0
Upper Siang,12,0,0,0,0,6,0,22,0,25,0
Upper Subansiri,147,15,0,0,0,58,37,184,3,17,0
West Kameng,115,14,1,1,0,77,12,140,2,110,5
West Siang,59,0,0,0,0,28,12,84,0,23,2
