District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,13,3,206,316.89,25,116.69,244,436.58
Changlang,218,46.18,659,1015.67,47,202.11,924,1263.96
Dibang Valley,1,0.5,75,120.92,9,37.76,85,159.18
East Kameng,82,6.53,206,409.37,44,329.34,332,745.24
East Siang,87,68.11,482,854.67,179,1195.68,748,2118.46
Kamle,32,15.51,186,242.33,26,82.31,244,340.15
Kra Daadi,72,28.54,216,233.57,40,125.73,328,387.84
Kurung Kumey,43,1.43,212,277.26,27,117.21,282,395.9
Lepa Rada,84,18.98,145,237.19,36,188.18,265,444.35
Lohit,121,35.1,329,493.64,45,239.04,495,767.78
Longding,239,67.52,575,783.14,22,79.94,836,930.6
Lower Dibang Valley,127,24.46,231,285.44,44,309.54,402,619.44
Lower Siang,25,6.53,253,444.89,27,155.22,305,606.64
Lower Subansiri,85,28.78,311,643.93,123,700.66,519,1373.37
Namsai,1305,468.92,518,980.89,68,363.78,1891,1813.59
Pakke Kessang,24,7.59,106,125.15,3,14.66,133,147.4
Papum Pare,321,64.68,991,2207.63,594,3535.72,1906,5808.03
Shi Yomi,0,0,31,43.44,5,26.13,36,69.57
Siang,28,8.33,118,148.98,16,75.18,162,232.49
Tawang,54,31.77,281,522.22,99,637.66,434,1191.65
Tirap,236,33.2,546,767.61,32,83.64,814,884.45
Upper Siang,44,6.07,242,248.89,21,94.1,307,349.06
Upper Subansiri,51,3.79,322,379.51,102,516.34,475,899.64
West Kameng,113,55.46,331,635.34,170,964.59,614,1655.39
West Siang,59,8.55,355,755.29,99,636.48,513,1400.32
