District,Number of Rural Branches,No. of camps conducted during the Quarter
Anjaw,1,2
Changlang,13,11
Dibang Valley,1,0
East Kameng,11,11
East Siang,7,6
Kamle,1,5
Kra Daadi,2,6
Kurung Kumey,4,1
Lepa Rada,0,0
Lohit,2,8
Longding,2,3
Lower Dibang Valley,0,11
Lower Siang,0,0
Lower Subansiri,5,7
Namsai,3,8
Pakke Kessang,1,1
Papum Pare,21,17
Shi Yomi,2,6
Siang,5,7
Tawang,8,12
Tirap,0,2
Upper Siang,4,8
Upper Subansiri,6,9
West Kameng,16,10
West Siang,9,9
