district,Micro,Small,Medium,KVIC,Other MSME,Total MSME NPA
Anjaw,4,0,0,0,0,4
Changlang,67,4,0,0,0,71
Dibang Valley,3,0,0,0,0,3
East Kameng,19,0,0,0,2,21
East Siang,295,5,0,0,21,321
Kamle,14,0,0,0,0,14
Kra Daadi,49,0,0,0,0,49
Kurung Kumey,19,0,0,0,1,20
Lepa Rada,5,0,0,0,2,7
Lohit,62,0,2,0,1,65
Longding,50,1,0,0,0,51
Lower Dibang Valley,38,0,0,0,0,38
Lower Siang,32,0,0,0,0,32
Lower Subansiri,149,11,0,0,6,166
Namsai,124,28,0,0,0,152
Pakke Kessang,10,0,0,0,0,10
Papum Pare,2103,123,6,32,159,2423
Shi Yomi,2,0,0,0,1,3
Siang,7,0,0,0,0,7
Tawang,45,4,0,0,1,50
Tirap,29,0,0,0,0,29
Upper Siang,14,0,0,0,0,14
Upper Subansiri,112,0,0,1,16,129
West Kameng,76,0,0,0,0,76
West Siang,115,0,1,0,0,116
