District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,2877.0,14358.43,,,,,,
Aligarh,1385.0,7504.18,365.0,50.19,171.12,164.61,1839.0,146.2
Ambedkar Nagar,1179.0,3550.51,,,,,,
Amethi,579.0,2588.64,,,,,,
Amroha,86.0,17.37,69.0,6.7,,,,
Auraiya,1032.0,4503.38,,,,,,
Ayodhya,1623.0,6664.92,172.0,22.81,,,,
Azamgarh,113.0,19.51,86.0,10.55,,,,
Baghpat,66.0,13.4,41.0,7.15,61.92,58.39,350.0,27.78
Bahraich,362.0,1967.3,,,,,,
Ballia,728.0,2745.57,319.79,20873.0,206.54,199.77,652.0,50.46
Balrampur,431.0,1264.04,24.0,2.67,31.25,23.91,236.0,19.19
Banda,2657.0,9530.75,28.0,3.51,,,,
Barabanki,708.0,3863.56,,,,,,
Bareilly,14895.0,56095.96,256.0,29.61,,,,
Basti,1237.0,4012.57,55.0,8.82,,,,
Bhadohi,1186.0,3969.61,120.48,8834.0,101.29,,,
Bijnor,859.0,3453.99,166.0,15.16,,,,
Budaun,767.0,2031.47,109.0,6.59,,,,
Bulandshahr,952.0,4178.16,239.0,23.04,121.29,112.85,1095.0,89.94
Chandauli,774.0,2838.7,,,,,,
Chitrakoot,205.0,867.28,10.0,0.95,,,,
Deoria,694.0,3470.87,,,,,,
Etah,160.0,950.97,34.52,4157.0,56.91,54.8,488.0,39.03
Etawah,282.0,1173.27,69.0,10.04,55.1,51.26,828.0,61.34
Farrukhabad,314.0,1134.48,76.0,10.53,69.43,60.49,619.0,45.02
Fatehpur,1085.0,5452.27,,,,,,
Firozabad,812.0,4279.47,88.0,9.5,,,,
Gautam Buddha Nagar,1753.0,26759.22,303.0,55.35,,,,
Ghaziabad,2634.0,21920.55,420.0,60.93,,,,
Ghazipur,2371.0,8173.18,61.0,8.59,,,,
Gonda,734.0,2436.25,55.0,5.92,,,,
Gorakhpur,2070.0,10195.61,275.0,42.28,,,,
Hamirpur,285.0,1273.71,,,,,,
Hapur,132.0,31.17,111.0,21.75,,,,
Hardoi,988.0,4332.99,128.0,11.07,,,,
Hathras,264.0,1269.84,84.0,10.83,,,,
Jalaun,211.0,995.09,48.0,6.18,,,,
Jaunpur,1905.0,5759.73,60.0,6.6,,,,
Jhansi,1157.0,4276.97,199.0,20.83,,,,
Kannauj,369.0,1403.57,24.0,3.22,,,,
Kanpur Dehat,508.0,1804.49,35.0,4.31,,,,
Kanpur Nagar,3425.0,21417.18,532.0,77.36,,,,
Kaushambi,599.0,1928.22,21.0,2.0,,,,
Kheri,467.0,2269.61,94.0,11.08,,,,
Kushi Nagar,748.0,2742.88,51.0,8.35,,,,
Lalitpur,319.0,850.84,13.51,1547.0,,,,
Lucknow,4788.0,32857.24,211.96,30781.0,,,,
Maharajganj,714.0,2802.35,56.0,6.49,,,,
Mahoba,140.0,533.31,29.0,5.03,,,,
Mainpuri,400.0,1836.87,,,,,,
Mathura,1125.0,5108.08,219.0,31.31,112.18,,,
Mau,1250.0,3832.97,70.0,11.16,,,,
Meerut,1378.0,9325.12,442.0,76.03,214.21,,,
Mirzapur,779.0,3141.52,98.0,17.91,130.72,,,
Moradabad,1997.0,9095.59,221.0,30.58,210.16,,,
Muzaffarnagar,1179.0,4792.39,178.0,25.37,,,,
Pilibhit,70.0,13.37,58.0,7.51,54.82,,,
Pratapgarh,1015.0,3581.06,95.0,11.64,,,,
Prayagraj,3204.0,12746.6,305.0,44.25,,,,
Rae Bareli,1549.0,7787.22,82.61,10034.0,,,,
Rampur,761.0,3025.18,60.0,4.86,92.25,,,
Saharanpur,1091.0,4062.61,222.0,26.87,,,,
Sambhal,375.0,1744.04,24.0,2.12,54.96,,,
Sant Kabeer Nagar,421.0,1756.38,35.0,5.48,52.83,,,
Shahjahanpur,844.0,3009.43,85.0,9.82,79.55,,,
Shamli,75.0,13.37,57.0,6.16,,,,
Shravasti,127.0,288.2,10.0,1.18,,,,
Siddharth Nagar,693.0,2200.33,39.0,4.28,51.34,,,
Sitapur,479.0,2168.97,48.0,5.97,,,,
Sonbhadra,607.0,2938.15,62.0,9.88,,,,
Sultanpur,839.0,3407.36,128.0,15.12,,,,
Unnao,775.0,3329.11,97.0,9.14,127.12,,,
Varanasi,2891.0,14184.84,417.56,41287.0,539.22,,,
