District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Aligarh,2420.0,1280.62,1553.0,402.3,64.17,31.41
Amethi,260.0,139.3,631.0,390.78,100.0,100.0
Amroha,110.0,60.66,730.0,324.56,100.0,100.0
Ayodhya,220.0,116.83,396.0,172.57,100.0,100.0
Azamgarh,2600.0,1377.23,555.0,357.43,21.35,25.95
Baghpat,1300.0,686.37,666.0,402.66,51.23,58.67
Ballia,350.0,184.23,402.0,86.67,100.0,47.04
Balrampur,120.0,61.78,86.0,21.78,71.67,35.25
Banda,1290.0,685.25,634.0,882.83,49.15,100.0
Barabanki,1260.0,668.39,313.0,232.75,24.84,34.82
Bareilly,316.0,161.76,472.0,223.23,100.0,100.0
Basti,2180.0,1152.56,868.0,373.04,39.82,32.37
Bhadohi,120.0,61.78,98.0,88.52,81.67,100.0
Bijnor,1860.0,982.93,477.0,180.96,25.65,18.41
Budaun,2310.0,1222.21,518.0,215.95,22.42,17.67
Chandauli,2090.0,1103.13,1022.0,396.44,48.9,35.94
Chitrakoot,830.0,440.35,313.0,115.57,37.71,26.25
Deoria,2190.0,1159.3,850.0,273.83,38.81,23.62
Farrukhabad,140.0,73.02,269.0,43.12,100.0,59.05
Fatehpur,3000.0,1587.3,1073.0,202.67,35.77,12.77
Firozabad,180.0,94.36,125.0,71.03,69.44,75.28
Gautam Buddha Nagar,90.0,47.18,99.0,54.23,100.0,100.0
Ghaziabad,90.0,47.18,168.0,50.01,100.0,100.0
Ghazipur,330.0,173.0,203.0,165.24,61.52,95.51
Gonda,330.0,173.0,586.0,168.11,100.0,97.17
Gorakhpur,3060.0,1618.75,1179.0,557.66,38.53,34.45
Hamirpur,1980.0,1045.84,199.0,59.03,10.05,5.64
Hapur,80.0,42.69,246.0,79.18,100.0,100.0
Hardoi,2050.0,1086.28,753.0,229.13,36.73,21.09
Hathras,140.0,71.89,231.0,75.83,100.0,100.0
Jalaun,2570.0,1357.01,453.0,190.2,17.63,14.02
Jaunpur,430.0,229.16,596.0,571.03,100.0,100.0
Jhansi,1470.0,775.11,568.0,445.61,38.64,57.49
Kannauj,1840.0,971.7,1023.0,291.51,55.6,30.0
Kanpur Dehat,200.0,105.6,283.0,99.11,100.0,93.85
Kanpur Nagar,200.0,105.6,273.0,86.0,100.0,81.44
Kasganj,130.0,69.65,90.0,16.95,69.23,24.34
Kheri,1880.0,993.04,809.0,137.7,43.03,13.87
Kushi Nagar,290.0,152.78,457.0,78.65,100.0,51.48
Lalitpur,1320.0,695.36,497.0,692.89,37.65,99.64
Lucknow,1330.0,705.47,582.0,256.5,43.76,36.36
Maharajganj,240.0,128.06,282.0,61.89,100.0,48.33
Mahoba,630.0,335.88,147.0,63.68,23.33,18.96
Mainpuri,1910.0,1011.02,376.0,139.45,19.69,13.79
Mathura,200.0,105.6,158.0,66.96,79.0,63.41
Mau,180.0,94.36,158.0,79.72,87.78,84.48
Meerut,240.0,128.06,278.0,127.95,100.0,99.91
Mirzapur,2120.0,1122.23,1154.0,246.03,54.43,21.92
Moradabad,160.0,83.13,560.0,305.88,100.0,100.0
Muzaffarnagar,180.0,94.36,340.0,219.36,100.0,100.0
Pratapgarh,740.0,393.17,467.0,156.53,63.11,39.81
Prayagraj,2310.0,1222.21,1905.0,893.8,82.47,73.13
Rae Bareli,370.0,195.46,2462.0,790.64,100.0,100.0
Rampur,120.0,61.78,309.0,93.63,100.0,100.0
Shahjahanpur,310.0,161.76,171.0,38.2,55.16,23.62
Shravasti,210.0,112.34,179.0,74.04,85.24,65.91
Siddharth Nagar,1190.0,629.08,192.0,53.91,16.13,8.57
Sitapur,390.0,206.7,126.0,68.05,32.31,32.92
Sonbhadra,2790.0,1478.33,833.0,164.19,29.86,11.11
Sultanpur,3370.0,1782.76,1370.0,536.76,40.65,30.11
Unnao,2740.0,1449.13,419.0,245.33,15.29,16.93
