District,onrB,Agri (Atl + Crop) Targetfor 2016-17,Achiv 2016-17,%,Croploan (whichisincludedin Agri) Targetfor 2016-17,Msme Targetfor 2016-17,Services Sector Targetfor 2016-17,Total Priority Sector Targetfor 2016-17,Non Priority Sector Targetfor 2016-17
Aizawl,91,6506.00,12710.48,41.40,2546.00,9610.00,34425.00,50541.00,30700.00
Champhai,20,1485.00,684.81,32.53,705.00,630.00,2175.00,4290.00,2105.00
Kolasib,16,2252.36,584.94,76.56,1150.00,886.75,1029.20,4168.31,764.00
Lawngtlai,11,863.00,1164.64,194.11,425.00,270.00,1385.00,2518.00,600.00
Lunglei,21,990.00,2770.72,271.64,285.00,440.00,1740.00,3170.00,1020.00
Mamit,10,1482.47,303.84,31.32,400.00,661.89,757.06,2901.42,970.00
Saiha,7,650.00,1247.84,155.98,260.00,190.00,1746.00,2586.00,800.00
Serchhip,12,660.00,454.48,51.07,385.00,655.00,1000.00,2315.00,890.00
