district,Loans sanctioned & Disbursed I,G,SHG-BL,Total,Subsidy released Amount in lakhs I,G,SHG-BL,Total
Aizawl,28.20,5.62,0,7.23,1.61,5.62,0,7.23
Champhai,17.77,0.06,0.44,0.73,0.23,0.06,0.44,0.73
Kolasib,9.20,0,0,0.08,0.08,0,0,0.08
Lawngtlai,13.95,0,0,0,0,0,0,0
Lunglei,19.00,0,0,0,0,0,0,0
Mamit,16.80,0,0,0,0,0,0,0
Saiha,17.50,0,0,0.07,0.07,0,0,0.07
Serchhip,23.00,0,0,3.57,3.57,0,0,3.57
