District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ambedkar Nagar,117.0,21.76,77.0,9.61,,,,
Amroha,88.0,17.35,70.0,6.81,21.11,18.66,190.0,15.58
Baghpat,15738.0,40.95,40.53,3396.0,46.67,43.46,220.0,17.6
Ballia,87.0,16.35,66.0,8.32,,,,
Balrampur,44.0,6.39,28.0,2.91,8.41,7.39,119.0,10.02
Banda,52.0,11.56,30.0,4.38,50.88,49.76,292.0,25.46
Budaun,147.0,21.5,111.0,6.69,29.48,27.74,451.0,36.14
Bulandshahr,338.0,63.41,242.0,30.22,71.62,68.65,711.0,563.0
Chandauli,38245.0,112.49,10478.0,8296.0,78.94,77.43,383.0,29.45
Etah,67.0,14.15,53.0,5.92,,,,
Etawah,98.0,20.14,78.0,11.94,,,,
Farrukhabad,142.0,25.24,87.0,11.34,,,,
Gautam Buddha Nagar,541.0,132.88,313.0,63.35,40.68,37.75,913.0,429.28
Gonda,106.0,18.84,56.0,6.27,,,,
Gorakhpur,429.0,86.74,297.0,47.59,,,,
Hapur,138.0,32.71,115.0,23.74,,,,
Hathras,115.0,22.11,86.0,12.11,,,,
Jalaun,5068.0,10.28,9.97,1102.0,21.42,19.65,160.0,13.27
Kannauj,63.0,12.06,31.0,5.28,,,,
Kanpur Dehat,56.0,10.37,37.0,4.56,40.3,35.97,231.0,18.96
Kanpur Nagar,920.0,194.65,589.0,96.2,151.9,141.58,1999.0,162.09
Kasganj,48.0,10.38,36.0,6.18,,,,
Kushi Nagar,67.0,12.75,51.0,8.52,,,,
Lucknow,1144.0,245.35,840.0,148.79,181.53,164.11,2245.0,179.65
Mahoba,2285.0,6.92,6.63,519.0,10.51,9.74,51.0,4.16
Mathura,32616.0,100.95,100.02,2926.0,44.79,42.63,611.0,50.55
Mau,89.0,17.89,72.0,11.45,58.41,56.79,307.0,26.09
Meerut,562.0,130.47,454.0,83.96,,,,
Mirzapur,125.0,27.72,99.0,1804.0,,,,
Moradabad,327.0,72.55,228.0,3560.0,,,,
Muzaffarnagar,53337.0,159.14,157.19,8434.0,83.37,79.14,534.0,44.21
Prayagraj,515.0,104.76,332.0,52.18,209.67,201.1,1473.0,123.9
Rae Bareli,14841.0,42.77,41.53,5010.0,93.32,88.82,1080.0,93.54
Rampur,90.0,19.7,62.0,605.0,28.33,27.26,394.0,33.3
Saharanpur,50406.0,163.52,160.06,7703.0,82.93,77.98,697.0,56.66
Sambhal,45.0,10.25,25.0,2.38,,,,
Sant Kabeer Nagar,60.0,12.1,37.0,5.51,,,,
Shahjahanpur,117.0,22.54,88.0,11.47,,,,
Siddharth Nagar,54.0,9.0,39.0,4.28,,,,
Sitapur,15340.0,39.79,39.06,2840.0,51.11,48.34,327.0,27.15
Sonbhadra,92.0,18.9,64.0,10.32,,,,
Sultanpur,12066.0,38.84,38.5,3958.0,63.42,60.96,578.0,49.43
Varanasi,70258.0,196.14,193.73,21041.0,246.77,237.15,2342.0,197.92
