District,no_of_accounts,amount_crore
Agra,42763.58,28429.44
Aligarh,22588.0,11993.0
Ambedkar Nagar,7.0,7.0
Amethi,4.0,4.0
Amroha,6123.0,5000.39
Auraiya,4453.05,1826.76
Ayodhya,10369.54,5025.16
Azamgarh,19229.83,4467.98
Baghpat,5846.97,2763.41
Bahraich,7030.14,4402.7
Ballia,15154.48,5319.72
Balrampur,4856.62,2369.87
Banda,6084.63,2939.92
Barabanki,8118.02,5497.83
Bareilly,1247.0,4738.6
Basti,8550.88,3593.75
Bhadohi,328.0,1261.27
Bijnor,16373.08,9855.68
Budaun,8047.08,6324.77
Bulandshahr,711.0,3523.3
Chandauli,7496.6,3169.04
Chitrakoot,2373.22,1181.78
Deoria,369.0,2017.03
Etah,5363.46,3964.34
Etawah,6367.54,2675.86
Farrukhabad,6.0,6.0
Fatehpur,33.0,33.0
Firozabad,10282.61,4989.55
Gautam Buddha Nagar,126598.45,72436.17
Ghaziabad,0.0,0.0
Ghazipur,1616.0,3378.82
Gonda,9545.76,4507.47
Gorakhpur,436.0,436.0
Hamirpur,3837.93,1972.07
Hapur,7142.98,4359.91
Hardoi,8467.23,5165.49
Hathras,6458.42,4072.57
Jalaun,153.0,1146.12
Jaunpur,18138.37,5457.83
Jhansi,17557.62,8162.08
Kannauj,17.0,17.0
Kanpur Dehat,4543.79,2749.86
Kanpur Nagar,49.0,49.0
Kasganj,64.0,351.44
Kaushambi,1.0,1.0
Kheri,24.0,24.0
Kushi Nagar,12.0,12.0
Lalitpur,4044.61,2946.17
Lucknow,1.0,1.0
Maharajganj,5535.42,2579.34
Mahoba,3444.24,1869.96
Mainpuri,58.0,58.0
Mathura,16222.13,10324.03
Mau,9045.38,2742.88
Meerut,35883.74,20490.12
Mirzapur,8712.64,4318.35
Moradabad,19334.76,13360.58
Muzaffarnagar,21.0,21.0
Pratapgarh,85.0,85.0
Prayagraj,22442.0,108661.88
Rae Bareli,804.0,5123.51
Rampur,81.0,81.0
Saharanpur,17439.14,10886.63
Sambhal,59.0,59.0
Sant Kabeer Nagar,44.0,44.0
Shahjahanpur,9075.78,6445.68
Shamli,4982.72,3155.8
Shravasti,1851.93,1115.91
Siddharth Nagar,46.0,46.0
Sitapur,9771.14,5665.95
Sonbhadra,9434.39,3893.8
Sultanpur,26.0,26.0
Unnao,9.0,9.0
Varanasi,22.0,22.0
