District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,1255.0,79.0,1.0,18.0,1353.0,25.1
Amethi,152.0,9.0,0.0,4.0,165.0,3.04
Auraiya,195.0,12.0,2.0,3.0,212.0,3.9
Baghpat,223.0,7.0,0.0,4.0,234.0,4.46
Bahraich,420.0,53.0,2.0,12.0,487.0,8.4
Ballia,329.0,11.0,0.0,3.0,343.0,6.58
Balrampur,134.0,5.0,1.0,5.0,145.0,2.68
Banda,239.0,33.0,1.0,273.0,4.78,
Bareilly,1447.0,105.0,3.0,28.0,1583.0,28.94
Basti,212.0,7.0,0.0,1.0,220.0,4.24
Budaun,506.0,22.0,5.0,9.0,542.0,10.12
Chandauli,207.0,9.0,0.0,3.0,219.0,4.14
Chitrakoot,55.0,9.0,0.0,2.0,66.0,1.1
Etah,771.0,71.0,0.0,7.0,849.0,15.42
Fatehpur,400.0,34.0,0.0,6.0,440.0,8.0
Firozabad,336.0,23.0,1.0,6.0,366.0,6.72
Ghaziabad,1097.0,35.0,5.0,44.0,1181.0,21.94
Gonda,334.0,41.0,3.0,14.0,392.0,6.68
Jhansi,290.0,13.0,2.0,6.0,311.0,5.8
Kannauj,340.0,36.0,0.0,5.0,381.0,6.8
Kanpur Dehat,258.0,23.0,6.0,1.0,282.0,5.16
Kanpur Nagar,958.0,50.0,5.0,22.0,1035.0,19.16
Kaushambi,153.0,15.0,0.0,3.0,171.0,3.06
Kheri,992.0,109.0,3.0,28.0,1132.0,19.84
Kushi Nagar,227.0,9.0,2.0,4.0,242.0,4.54
Lalitpur,74.0,4.0,1.0,1.0,80.0,1.48
Lucknow,1162.0,59.0,8.0,41.0,1270.0,23.24
Mainpuri,342.0,48.0,0.0,3.0,393.0,6.84
Mau,199.0,9.0,0.0,2.0,210.0,3.98
Meerut,566.0,27.0,5.0,22.0,620.0,11.32
Moradabad,1478.0,44.0,1.0,23.0,1546.0,29.56
Pilibhit,516.0,41.0,0.0,15.0,572.0,10.32
Pratapgarh,604.0,42.0,3.0,9.0,658.0,12.08
Rae Bareli,734.0,46.0,2.0,8.0,790.0,14.68
Rampur,736.0,38.0,3.0,6.0,783.0,14.72
Saharanpur,1474.0,95.0,14.0,52.0,1635.0,29.48
Sambhal,577.0,41.0,3.0,8.0,629.0,11.54
Siddharth Nagar,91.0,3.0,0.0,0.0,94.0,1.82
Sitapur,674.0,76.0,1.0,7.0,758.0,13.48
Sonbhadra,227.0,34.0,0.0,5.0,266.0,4.54
Sultanpur,521.0,45.0,0.0,8.0,574.0,10.42
Varanasi,600.0,25.0,0.0,8.0,633.0,12.0
