District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,220.0,83.0,1.0,6.0,310.0,4.38
Aligarh,143.0,88.0,7.0,238.0,2.86,
Amethi,41.0,8.0,1.0,1.0,51.0,0.81
Ayodhya,86.0,17.0,1.0,104.0,1.71,
Azamgarh,85.0,17.0,4.0,106.0,1.68,
Baghpat,77.0,13.0,1.0,1.0,92.0,1.54
Bahraich,63.0,39.0,4.0,106.0,1.26,
Ballia,30.0,8.0,2.0,40.0,0.6,
Bareilly,146.0,23.0,1.0,16.0,186.0,2.91
Bijnor,121.0,33.0,154.0,2.41,,
Budaun,38.0,9.0,47.0,0.76,,
Bulandshahr,134.0,53.0,1.0,6.0,194.0,2.68
Chitrakoot,16.0,12.0,1.0,29.0,32.0,
Etah,78.0,34.0,1.0,113.0,1.56,
Fatehpur,61.0,12.0,1.0,3.0,77.0,1.19
Firozabad,58.0,18.0,1.0,77.0,1.16,
Gautam Buddha Nagar,94.0,23.0,1.0,1.0,119.0,1.88
Ghaziabad,168.0,48.0,1.0,217.0,3.31,
Ghazipur,55.0,8.0,63.0,1.06,,
Gonda,29.0,17.0,1.0,47.0,0.58,
Gorakhpur,56.0,19.0,1.0,76.0,1.12,
Hamirpur,31.0,9.0,1.0,5.0,46.0,0.62
Hapur,44.0,7.0,2.0,53.0,0.86,
Hardoi,95.0,60.0,6.0,161.0,1.89,
Jalaun,67.0,45.0,2.0,3.0,117.0,1.33
Jhansi,50.0,21.0,3.0,74.0,1.0,
Kannauj,50.0,39.0,1.0,90.0,1.0,
Kanpur Dehat,50.0,1.0,5.0,56.0,1.0,
Kushi Nagar,12.0,7.0,3.0,22.0,0.24,
Lucknow,300.0,120.0,2.0,4.0,426.0,5.99
Mahoba,32.0,28.0,5.0,65.0,0.64,
Mainpuri,95.0,17.0,1.0,113.0,1.89,
Mathura,119.0,28.0,3.0,150.0,2.37,
Meerut,184.0,42.0,7.0,233.0,3.65,
Mirzapur,77.0,36.0,6.0,119.0,1.54,
Pratapgarh,48.0,9.0,2.0,59.0,0.95,
Rae Bareli,92.0,17.0,3.0,7.0,119.0,1.82
Rampur,69.0,8.0,3.0,80.0,1.38,
Sambhal,11.0,4.0,15.0,0.22,,
Sant Kabeer Nagar,8.0,2.0,3.0,13.0,0.16,
Shahjahanpur,88.0,14.0,5.0,107.0,1.76,
Shamli,38.0,22.0,60.0,0.72,,
Shravasti,10.0,5.0,2.0,17.0,0.2,
Siddharth Nagar,9.0,1.0,10.0,0.18,,
Sitapur,97.0,61.0,3.0,161.0,1.93,
Sonbhadra,54.0,28.0,3.0,85.0,1.07,
Sultanpur,37.0,4.0,41.0,0.74,,
Unnao,82.0,34.0,1.0,6.0,123.0,1.64
Varanasi,105.0,29.0,7.0,141.0,2.08,
