District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Agra,624524.0,8825.49,,,,,,,,,,
Ambedkar Nagar,44780.0,41521.0,39.0,86346.0,217376.0,180973.0,1068.0,399417.0,485757.0,,,
Amroha,319554.0,155594.0,,,,,,,,,,
Ayodhya,89348.0,73867.0,85.0,163300.0,375704.0,286257.0,1839.0,663800.0,827106.0,,,
Baghpat,35218.0,25374.0,323.0,60915.0,97742.0,63657.0,1141.0,162540.0,223455.0,,,
Bahraich,87477.0,77550.0,29.0,165056.0,168653.0,170645.0,1105.0,340403.0,505459.0,,,
Banda,60441.0,42120.0,20.0,102581.0,139624.0,96079.0,996.0,236699.0,339280.0,,,
Chitrakoot,30787.0,25557.0,5.0,56349.0,118917.0,88576.0,882.0,208375.0,264724.0,,,
Farrukhabad,59066.0,47651.0,23.0,106740.0,210936.0,188265.0,1164.0,400365.0,507105.0,,,
Fatehpur,76113.0,64496.0,47.0,140656.0,282978.0,237657.0,1251.0,521886.0,662542.0,,,
Gautam Buddha Nagar,124113.0,55503.0,321.0,179937.0,324067.0,148123.0,1457.0,473647.0,653584.0,724135.0,87.12,93.85
Hapur,27057.0,20225.0,394.0,47676.0,81417.0,56222.0,206.0,137845.0,185521.0,209763.0,93.4,96.55
Jalaun,50594.0,35155.0,23.0,85772.0,159184.0,103100.0,995.0,263279.0,349051.0,,,
Jaunpur,1855903.0,339146.0,923320.0,1271729.0,2195049.0,2030437.0,737.81,340930.0,1126561.0,1832150.0,90.23,55.48
Kanpur Dehat,591516.0,162014.0,381544.0,371986.0,753530.0,720601.0,276.9,47609.0,641529.0,642895.0,89.22,89.03
Kanpur Nagar,140366.0,95324.0,390.0,236080.0,589097.0,394641.0,3089.0,986827.0,1222907.0,1077150.0,89.89,89.98
Kasganj,36131.0,27453.0,10.0,63594.0,145539.0,113245.0,125.0,258909.0,322503.0,,,
Kaushambi,29874.0,25513.0,25.0,55412.0,215896.0,188101.0,1061.0,405058.0,460470.0,,,
Lucknow,184034.0,123858.0,391.0,308283.0,641815.0,435055.0,3330.0,1080200.0,1388483.0,1058693.0,82.74,78.55
Mahoba,33179.0,24156.0,11.0,57346.0,62939.0,41078.0,887.0,104904.0,162250.0,,,
Mainpuri,50620.0,40035.0,19.0,90674.0,190316.0,163836.0,1201.0,355353.0,446027.0,,,
Mathura,67439.0,48121.0,808.0,116368.0,233280.0,162426.0,1452.0,397158.0,513526.0,601058.0,90.34,90.07
Mau,34534.0,28624.0,41.0,63199.0,136459.0,120597.0,1204.0,258260.0,321459.0,1023205.0,91.09,54.51
Meerut,90832.0,69312.0,872.0,161016.0,303133.0,205887.0,2274.0,511294.0,672310.0,,,
Moradabad,90096.0,56756.0,126.0,146978.0,299526.0,182565.0,474.0,482565.0,629543.0,,,
Pratapgarh,71638.0,69516.0,95.0,141249.0,260705.0,231783.0,2800.0,495288.0,636537.0,,,
Prayagraj,128255.0,99630.0,217.0,228102.0,772632.0,583447.0,3041.0,1359120.0,1587222.0,2303504.0,87.52,85.88
Saharanpur,737151.0,604665.0,599584.0,742232.0,1341816.0,1257468.0,338.68,127836.0,1052112.0,1081615.0,86.02,83.67
Sambhal,37612.0,24892.0,56.0,62560.0,141780.0,82418.0,67.0,224265.0,286825.0,591050.0,82.3,86.69
Sant Kabeer Nagar,19866.0,23598.0,304.0,43768.0,109065.0,120482.0,2035.0,231582.0,275350.0,,,
Siddharth Nagar,34782.0,44402.0,75.0,79259.0,194743.0,181127.0,2851.0,378721.0,457980.0,,,
Sonbhadra,48730.0,40886.0,70.0,89686.0,119677.0,91789.0,1251.0,212717.0,302403.0,482357.0,91.68,69.03
Sultanpur,1192666.0,118942.0,627579.0,684029.0,1311608.0,1292433.0,725.42,49451.0,1076371.0,1170329.0,90.55,83.28
Unnao,91596.0,72319.0,69.0,163984.0,298222.0,233098.0,1397.0,532717.0,696701.0,,,
