district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Bishnupur,21635,187300,879,7183,1795,19520,53,1321
Chandel,10638,18581,122,940,160,2387,7,155
Churachandpur,47408,108921,377,9970,1248,15300,51,1753
Imphal East,37545,254859,1727,11370,1458,35137,344,3339
Imphal West,63312,280920,1179,17889,3647,57422,547,4766
Jiribam,1837,37886,0,666,0,1120,0,0
Kakching,19852,122571,67,1618,548,6610,36,348
Kamjong,1783,1506,0,30,0,56,0,76
Kangpokpi,14440,24533,0,913,0,1962,42,198
Noney,2989,8013,30,250,21,1478,1,88
Pherzawl,178,183,0,0,0,2,0,0
Senapati,25479,51576,69,1835,835,7022,15,365
Tamenglong,2614,57393,1,381,14,1342,0,0
Tengnoupal,5221,22967,289,1357,381,2711,7,75
Thoubal,47048,177298,403,4769,1213,12368,71,975
Ukhrul,20117,111881,139,1626,225,3416,2,136
