district,Number Of Account,Total Outstanding,Demand Raised,Recovery Amount,Recovery %,Overdues
Bishnupur,4,3.97,0.94,0,0,0.94
Chandel,1,0.94,0,0,,0
Churachandpur,1,0.02,0,0,,0
Imphal East,468,318.96,0,0,,0
Imphal West,73,57.47,5.63,1.95,35,3.68
Jiribam,0,0,0,0,,0
Kakching,7,4.31,0,0,,0
Kamjong,0,0,0,0,,0
Kangpokpi,13,13.4,0,0,,0
Noney,0,0,0,0,,0
Pherzawl,0,0,0,0,,0
Senapati,9,7.15,0,0,,0
Tamenglong,116,91.25,0,0,,0
Tengnoupal,0,0,0,0,,0
Thoubal,156,111.91,0,0,,0
Ukhrul,0,0,0,0,,0
