District,Lead Bank,Dateof Dcc Meeting 1st Qtr,2nd Qtr,3rd Qtr,Datesof Dlrc Meeting 1st Qtr
Thoubal,S B I,31/08/2019,11/12/2019,7/3/2020,31/08/2019
Kakching,,20/09/2019,22/11/2019,4/3/2020,20/09/2019
Chandel,,23/09/2019,4/12/2019,7/3/2020,23/09/2019
Churachandpur,,13/09/2019,9/12/2019,3/2/2020,13/09/2019
Pherzawl,,30/08/2019,30/11/2019,3/2/2020,30/08/2019
Senapati,,21/09/2019,11/12/2019,13/03/2020,21/09/2019
Kangpokpi,,23/09/2019,9/12/2019,13/03/2020,23/09/2019
Imphal West,,4/10/2019,29/11/2019,20/03/2020,4/10/2019
Imphal East,U B I,9/10/2019,10/12/2019,17/03/2020,9/10/2019
Jiribam,,10/9/2019,9/12/2019,24/02/2020,10/9/2019
Bishnupur,,12/11/2019,12/11/2019,19/03/2020,12/11/2019
Tengnoupal,,26/11/2019,26/11/2019,20/03/2020,26/11/2019
Tamenglong,,18/09/2019,2/12/2019,17/03/2020,18/09/2019
Noney,,5/11/2019,5/11/2019,17/03/2020,5/11/2019
Ukhrul,,27/11/2019,27/11/2019,24/03/2020,27/11/2019
Kamjong,,18/11/2019,18/11/2019,13/03/2020,18/11/2019
