District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Bishnupur,550,878.79,394.2,36.94,9,357.26
Chandel,303,428.1,94.45,6.56,7,87.89
Churachandpur,361,644.87,123.46,38.44,31,85.02
Imphal East,904,3067.76,589.13,156.58,27,432.55
Imphal West,1169,5711.55,724.59,106.04,15,618.55
Jiribam,30,54.45,12.94,10.17,79,2.77
Kakching,268,471.16,122.64,53.11,43,69.53
Kamjong,37,74.14,12.45,1.12,9,11.33
Kangpokpi,193,424.04,66.9,34.28,51,32.62
Noney,27,48.09,8.19,0.74,9,7.45
Pherzawl,4,6.88,0,0,,0
Senapati,422,716.65,118.41,29.36,25,89.05
Tamenglong,235,287.13,65.17,51.01,78,14.16
Tengnoupal,74,84.71,13.46,3.93,29,9.53
Thoubal,470,990.26,137.71,78.9,57,58.81
Ukhrul,361,528.54,167.99,67.49,40,100.5
