district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Bishnupur,0,0.00,357,4728.15,38,380.13,395,5108.28
Chandel,0,0.00,10,160.10,104,1359.14,114,1519.24
Churachandpur,39,454.82,451,7594.54,322,3070.12,812,11119.48
Imphal East,603,4500.65,559,938.93,388,6829.20,1550,12268.78
Imphal West,4490,47860.51,1163,8502.18,67,1263.27,5720,57625.96
Jiribam,0,0.00,0,0.00,11,61.89,11,61.89
Kakching,0,0.00,114,1521.39,128,2729.70,242,4251.09
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,0,0.00,0,0.00,166,2800.53,166,2800.53
Noney,0,0.00,0,0.00,0,0.00,0,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,0,0.00,0,0.00,231,4503.13,231,4503.13
Tamenglong,0,0.00,7,119.31,1,5.02,8,124.33
Tengnoupal,0,0.00,21,271.69,43,723.46,64,995.15
Thoubal,0,0.00,397,5580.95,0,0.00,397,5580.95
Ukhrul,0,0.00,10,125.70,0,0.00,10,125.70
