District,Current Year Number of Cardsissued,Current Year Limit Sanctioned,O/S Position Number of Cardsissued,O/S Position Limit Sanctioned
Bishnupur,488,200.89,4939,1807.57
Chandel,109,68.19,351,239.23
Churachandpur,351,270.62,1229,815.67
Imphal East,671,765.40,5769,3006.29
Imphal West,586,3917.91,9487,6489.18
Jiribam,33,31.76,72,24.04
Kakching,92,67.03,706,255.26
Kamjong,0,0.00,0,0.00
Kangpokpi,192,143.60,602,466.90
Noney,38,28.85,40,20.39
Pherzawl,0,0.00,0,0.00
Senapati,438,291.51,1309,866.36
Tamenglong,24,11.65,81,31.67
Tengnoupal,16,13.55,172,80.26
Thoubal,681,481.23,3372,1163.29
Ukhrul,38,11.06,377,347.06
