District,Number of Pending Cases Atthe Beginning Ofthe Quarter,Amountof Pending Cases Atthe Beginning Ofthe Quarter,Number of Casesaddduring The Quarter,Amountof Cases Addduringthe Quarter,Number of Cases Settledduring The Quarter,Amountof Casessettledduringthequarter,Number of Pending Casesatthecloseofthe Quarter,Amountof Pending Casesattheclaseofthe Quarter
Bishnupur,87,181.95,0,0,0,0,87,181.95
Chandel,0,0,0,0,0,0,0,0
Churachandpur,11,32.03,0,0,0,0,11,32.03
Imphal East,35,423.18,0,0,0,0,35,423.18
Imphal West,294,837.42,0,0,0,0,294,837.42
Jiribam,0,0,0,0,0,0,0,0
Kakching,70,197.33,0,0,0,0,70,197.33
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,9,12.06,0,0,0,0,9,12.06
Noney,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0
Thoubal,83,169.8,0,0,0,0,83,169.8
Ukhrul,6,1.56,0,0,0,0,6,1.56
