period,district,amount,amount_rs_in_lakhs,amount_rs_inlakhs,amount_rsin_lakhs,amountof_subsidy_rsin_lakhs,disbursed_upto_31_03_18_no,disbursement,disbursement_no,disbursement_no_of_cases,no_of_cases,no_of_cases_sponsored,no_ofcases_sponsored,pending_disbursement_no,pending_with_bank_for,pending_with_bank_for_disbursement,pending_with_bank_for_disbursement_no,pending_with_bank_for_disbursement_no_of_cases,pending_with_bank_for_no,pending_with_bank_for_nod_i_sb,pending_with_bank_no,pending_with_no,pending_withbank_fordisburseme_nt_no_of_cases,pending_withbank_fordisbursement_no_of_cases,pendingwith_bankfor_disbursement_no_of_cases,pendingwithbank_fordisbursement_no_of_cases,project_cost,project_cost_involved,project_cost_involved_in_sanctioned_cases,s_u_b_s_idy_released_no,sanction_ed,sanctioned,sanctioned_but_pending_for_disbursement_no,sanctioned_caes_project_cost_in,sanctioned_caes_project_cost_involved,sanctioned_cases_project_cost,sanctioned_cases_total_project_cost_involved,sanctioned_no,sponsored_no,subsidy,subsidy_involved,subsidy_involved_in_sanctioned_cases,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidy_released,subsidy_released_nedo,subsidy_released_no,subsidy_released_no_of_cases,subsidyreleased_no_of_cases,svoulbvesdidy_involv,total_project_cost_involved_in_sanctioned,total_project_cost_involved_in_sanctioned_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs,urseammeonutnt
December 2017,Uttar Dinajpur,,215.31,,,,,,,10739.0,,23976.0,,,,,,273.0,,,,,,,,,,,,,12242.0,,,,,,,,,,,,,7827.32,,,,,,11256.0,,,,,30346.47,,
December 2018,Alipurduar,,,,,,,138.0,,,1572.0,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.97,,,,368.0,,,,,,,1865.27,,,
December 2018,Bankura,,,,,,,479.0,,,3538.0,,,,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.71,,,,912.0,,,,,,,2979.99,,,
December 2018,Birbhum,,,,,,,1242.0,,,3751.0,,,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.03,,,,1451.0,,,,,,,4143.33,,,
December 2018,Cooch Behar,,,,,,,504.0,,,4255.0,,,,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.93,,,,1052.0,,,,,,,3374.84,,,
December 2018,Dakshin Dinajpur,,,,,,,132.0,,,1215.0,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.29,,,,421.0,,,,,,,1436.01,,,
December 2018,Darjeeling,,,,,,,80.0,,,700.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.47,,,,120.0,,,,,,,1016.6,,,
December 2018,Hooghly,,,,,,,1606.0,,,6801.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.92,,,,1692.0,,,,,,,6864.77,,,
December 2018,Howrah,,,,,,,844.0,,,2637.0,,,,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.31,,,,1264.0,,,,,,,3277.52,,,
December 2018,Jalpaiguri,,,,,,,940.0,,,4567.0,,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.29,,,,1182.0,,,,,,,5529.66,,,
December 2018,Jhargram,,,,,,,113.0,,,3773.0,,,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.82,,,,462.0,,,,,,,3434.8,,,
