period,district,amount,amount_rs_in_lakhs,amount_rs_inlakhs,amount_rsin_lakhs,amountof_subsidy_rsin_lakhs,disbursed_upto_31_03_18_no,disbursement,disbursement_no,disbursement_no_of_cases,no_of_cases,no_of_cases_sponsored,no_ofcases_sponsored,pending_disbursement_no,pending_with_bank_for,pending_with_bank_for_disbursement,pending_with_bank_for_disbursement_no,pending_with_bank_for_disbursement_no_of_cases,pending_with_bank_for_no,pending_with_bank_for_nod_i_sb,pending_with_bank_no,pending_with_no,pending_withbank_fordisburseme_nt_no_of_cases,pending_withbank_fordisbursement_no_of_cases,pendingwith_bankfor_disbursement_no_of_cases,pendingwithbank_fordisbursement_no_of_cases,project_cost,project_cost_involved,project_cost_involved_in_sanctioned_cases,s_u_b_s_idy_released_no,sanction_ed,sanctioned,sanctioned_but_pending_for_disbursement_no,sanctioned_caes_project_cost_in,sanctioned_caes_project_cost_involved,sanctioned_cases_project_cost,sanctioned_cases_total_project_cost_involved,sanctioned_no,sponsored_no,subsidy,subsidy_involved,subsidy_involved_in_sanctioned_cases,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidy_released,subsidy_released_nedo,subsidy_released_no,subsidy_released_no_of_cases,subsidyreleased_no_of_cases,svoulbvesdidy_involv,total_project_cost_involved_in_sanctioned,total_project_cost_involved_in_sanctioned_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs,urseammeonutnt
June 2016,Bankura,,,7108.05,,350.88,,,,11219.0,,,28788.0,,,,,,,,,,,,460.0,,,,,,14614.0,,,,,,,,,,,,,,,8428.1,,,,,12436.0,,,,,33480.69,
June 2016,Birbhum,,,8065.82,,320.4,,,,14465.0,,,36967.0,,,,,,,,,,,,506.0,,,,,,19274.0,,,,,,,,,,,,,,,10415.19,,,,,15799.0,,,,,41869.27,
June 2016,Cooch Behar,,,5066.99,,202.95,,,,10425.0,,,24405.0,,,,,,,,,,,,384.0,,,,,,11994.0,,,,,,,,,,,,,,,5643.64,,,,,10991.0,,,,,22623.36,
June 2016,Dakshin Dinajpur,,,4689.17,,67.64,,,,9566.0,,,19116.0,,,,,,,,,,,,122.0,,,,,,10898.0,,,,,,,,,,,,,,,4627.56,,,,,10384.0,,,,,23481.99,
June 2016,Darjeeling,,,1570.78,,87.2,,,,2628.0,,,9217.0,,,,,,,,,,,,75.0,,,,,,3171.0,,,,,,,,,,,,,,,1641.77,,,,,2970.0,,,,,6548.19,
June 2016,Hooghly,,,7913.28,,132.81,,,,13893.0,,,36700.0,,,,,,,,,,,,151.0,,,,,,15828.0,,,,,,,,,,,,,,,9593.51,,,,,14442.0,,,,,36144.79,
June 2016,Howrah,,,4793.6,,92.38,,,,11099.0,,,33549.0,,,,,,,,,,,,142.0,,,,,,12005.0,,,,,,,,,,,,,,,4891.33,,,,,11752.0,,,,,20507.15,
June 2016,Jalpaiguri,,,5617.43,,503.88,,,,7942.0,,,16739.0,,,,,,,,,,,,561.0,,,,,,10126.0,,,,,,,,,,,,,,,6356.03,,,,,9267.0,,,,,32311.85,
June 2016,Kolkata,,,3988.81,,193.04,,,,7901.0,,,21960.0,,,,,,,,,,,,223.0,,,,,,9442.0,,,,,,,,,,,,,,,4026.31,,,,,9517.0,,,,,16539.93,
June 2016,Malda,,,6610.11,,113.76,,,,12279.0,,,54234.0,,,,,,,,,,,,170.0,,,,,,14008.0,,,,,,,,,,,,,,,7243.2,,,,,13041.0,,,,,35343.61,
June 2016,Murshidabad,,,9510.1,,351.52,,,,17236.0,,,37409.0,,,,,,,,,,,,527.0,,,,,,19472.0,,,,,,,,,,,,,,,10223.7,,,,,18718.0,,,,,44754.07,
June 2016,Nadia,,,6715.01,,14.15,,,,13063.0,,,37278.0,,,,,,,,,,,,22.0,,,,,,16039.0,,,,,,,,,,,,,,,8077.82,,,,,13720.0,,,,,33382.33,
June 2016,Paschim Medinipur,,,8974.47,,105.98,,,,13150.0,,,43646.0,,,,,,,,,,,,90.0,,,,,,17828.0,,,,,,,,,,,,,,,11875.28,,,,,13711.0,,,,,54357.94,
June 2016,Purba Medinipur,,,8599.58,,216.75,,,,13634.0,,,26133.0,,,,,,,,,,,,311.0,,,,,,15288.0,,,,,,,,,,,,,,,8790.47,,,,,14606.0,,,,,31593.42,
June 2016,Purulia,,,4616.24,,187.81,,,,7130.0,,,21931.0,,,,,,,,,,,,250.0,,,,,,8552.0,,,,,,,,,,,,,,,5306.99,,,,,7653.0,,,,,24150.67,
June 2016,Uttar Dinajpur,,,5175.61,,316.57,,,,8009.0,,,18614.0,,,,,,,,,,,,422.0,,,,,,9200.0,,,,,,,,,,,,,,,5445.9,,,,,8638.0,,,,,22291.64,
June 2017,Alipurduar,,2539.76,225.03,,,,,,3933.0,,,10315.0,,,,,,,,,,247.0,,,,,,,,4504.0,,,,,,,,,,,,,,3038.09,,,,,,4231.0,,,,,12315.71,
June 2017,Bankura,,7206.7,398.72,,,,,,12604.0,,,32477.0,,,,,,,,,,558.0,,,,,,,,16285.0,,,,,,,,,,,,,,9394.66,,,,,,13920.0,,,,,37215.14,
June 2017,Birbhum,,8091.0,1022.57,,,,,,15749.0,,,40000.0,,,,,,,,,,1777.0,,,,,,,,20756.0,,,,,,,,,,,,,,11236.44,,,,,,18426.0,,,,,44583.49,
June 2017,Cooch Behar,,5314.74,409.84,,,,,,11464.0,,,28498.0,,,,,,,,,,764.0,,,,,,,,13778.0,,,,,,,,,,,,,,6853.63,,,,,,12414.0,,,,,26229.66,
June 2017,Dakshin Dinajpur,,4666.36,55.82,,,,,,10248.0,,,20984.0,,,,,,,,,,91.0,,,,,,,,11623.0,,,,,,,,,,,,,,4922.91,,,,,,10961.0,,,,,24954.95,
June 2017,Darjeeling,,1463.64,79.36,,,,,,2696.0,,,9767.0,,,,,,,,,,70.0,,,,,,,,3975.0,,,,,,,,,,,,,,1852.87,,,,,,3046.0,,,,,7266.23,
June 2017,Hooghly,,8938.89,143.97,,,,,,15364.0,,,42452.0,,,,,,,,,,146.0,,,,,,,,17650.0,,,,,,,,,,,,,,11258.96,,,,,,16054.0,,,,,41738.48,
June 2017,Howrah,,5236.69,293.94,,,,,,12215.0,,,36658.0,,,,,,,,,,471.0,,,,,,,,13443.0,,,,,,,,,,,,,,5827.03,,,,,,13209.0,,,,,23678.96,
June 2017,Jalpaiguri,,5959.43,216.14,,,,,,9454.0,,,20588.0,,,,,,,,,,267.0,,,,,,,,12121.0,,,,,,,,,,,,,,8606.87,,,,,,10519.0,,,,,39334.73,
June 2017,Jhargram,,0.0,0.0,,,,,,0.0,,,43.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,
June 2017,Kalimpong,,0.0,0.0,,,,,,0.0,,,45.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,
June 2017,Kolkata,,3855.46,156.91,,,,,,8380.0,,,22731.0,,,,,,,,,,197.0,,,,,,,,9931.0,,,,,,,,,,,,,,4794.98,,,,,,9974.0,,,,,18980.75,
June 2017,Malda,,7118.83,140.11,,,,,,13570.0,,,58502.0,,,,,,,,,,126.0,,,,,,,,15325.0,,,,,,,,,,,,,,8473.41,,,,,,14328.0,,,,,39444.3,
June 2017,Murshidabad,,9924.61,348.71,,,,,,18896.0,,,41468.0,,,,,,,,,,527.0,,,,,,,,21592.0,,,,,,,,,,,,,,11821.47,,,,,,20424.0,,,,,50043.85,
June 2017,Nadia,,6407.62,576.99,,,,,,13157.0,,,38997.0,,,,,,,,,,806.0,,,,,,,,16627.0,,,,,,,,,,,,,,8544.2,,,,,,14614.0,,,,,34725.96,
June 2017,Paschim Bardhaman,,116.74,166.39,,,,,,126.0,,,248.0,,,,,,,,,,185.0,,,,,,,,127.0,,,,,,,,,,,,,,116.15,,,,,,0.0,,,,,394.25,
June 2017,Paschim Medinipur,,10243.85,110.95,,,,,,14619.0,,,52514.0,,,,,,,,,,102.0,,,,,,,,20235.0,,,,,,,,,,,,,,14463.49,,,,,,15192.0,,,,,62485.61,
June 2017,Purba Bardhaman,,12484.18,791.85,,,,,,19848.0,,,56840.0,,,,,,,,,,886.0,,,,,,,,24533.0,,,,,,,,,,,,,,16112.09,,,,,,22162.0,,,,,66274.95,
June 2017,Purba Medinipur,,9661.73,128.98,,,,,,16064.0,,,29402.0,,,,,,,,,,171.0,,,,,,,,17516.0,,,,,,,,,,,,,,10295.13,,,,,,16896.0,,,,,36654.2,
June 2017,Purulia,,4751.88,372.04,,,,,,7805.0,,,23706.0,,,,,,,,,,539.0,,,,,,,,10362.0,,,,,,,,,,,,,,5687.23,,,,,,8619.0,,,,,25520.71,
June 2017,Uttar Dinajpur,,5884.19,215.31,,,,,,9423.0,,,22550.0,,,,,,,,,,273.0,,,,,,,,11089.0,,,,,,,,,,,,,,6946.41,,,,,,9940.0,,,,,27423.48,
June 2018,Alipurduar,,385.85,,,,,,,4446.0,,11915.0,,,,,,367.0,,,,,,,,,,,,,5199.0,,,,,,,,,,,,,3708.67,,,,,,4984.0,,,,,14551.94,,
June 2018,Bankura,,824.02,,,,,,,15158.0,,38087.0,,,,,,1215.0,,,,,,,,,,,,,18970.0,,,,,,,,,,,,,11244.0,,,,,,17181.0,,,,,43232.48,,
June 2018,Birbhum,,458.38,,,,,,,19988.0,,44789.0,,,,,,803.0,,,,,,,,,,,,,24082.0,,,,,,,,,,,,,13101.05,,,,,,21850.0,,,,,50622.65,,
June 2018,Cooch Behar,,320.68,,,,,,,14151.0,,33261.0,,,,,,571.0,,,,,,,,,,,,,16619.0,,,,,,,,,,,,,8481.34,,,,,,14897.0,,,,,31597.08,,
June 2018,Dakshin Dinajpur,,244.51,,,,,,,10921.0,,23588.0,,,,,,403.0,,,,,,,,,,,,,12596.0,,,,,,,,,,,,,5632.63,,,,,,11946.0,,,,,26968.27,,
June 2018,Darjeeling,,70.11,,,,,,,2935.0,,10408.0,,,,,,72.0,,,,,,,,,,,,,4162.0,,,,,,,,,,,,,2173.47,,,,,,3316.0,,,,,8364.83,,
June 2018,Hooghly,,438.9,,,,,,,18254.0,,49100.0,,,,,,495.0,,,,,,,,,,,,,20486.0,,,,,,,,,,,,,13838.51,,,,,,19345.0,,,,,50469.94,,
June 2018,Howrah,,282.11,,,,,,,14188.0,,41578.0,,,,,,418.0,,,,,,,,,,,,,15675.0,,,,,,,,,,,,,7342.88,,,,,,15129.0,,,,,28922.7,,
June 2018,Jalpaiguri,,748.95,,,,,,,11874.0,,25635.0,,,,,,1078.0,,,,,,,,,,,,,15497.0,,,,,,,,,,,,,10527.74,,,,,,13852.0,,,,,45798.03,,
June 2018,Jhargram,,10.37,,,,,,,726.0,,3192.0,,,,,,9.0,,,,,,,,,,,,,1170.0,,,,,,,,,,,,,1437.24,,,,,,735.0,,,,,4960.76,,
June 2018,Kalimpong,,0.0,,,,,,,1.0,,47.0,,,,,,0.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,24.51,,,,,,1.0,,,,,85.76,,
June 2018,Kolkata,,426.89,,,,,,,8882.0,,24301.0,,,,,,494.0,,,,,,,,,,,,,10712.0,,,,,,,,,,,,,5447.67,,,,,,10729.0,,,,,21423.36,,
June 2018,Malda,,170.08,,,,,,,15448.0,,64010.0,,,,,,198.0,,,,,,,,,,,,,18221.0,,,,,,,,,,,,,10849.1,,,,,,16278.0,,,,,47363.24,,
June 2018,Murshidabad,,536.83,,,,,,,22240.0,,45056.0,,,,,,767.0,,,,,,,,,,,,,24586.0,,,,,,,,,,,,,14375.91,,,,,,24052.0,,,,,60461.48,,
June 2018,Nadia,,194.72,,,,,,,15821.0,,45389.0,,,,,,289.0,,,,,,,,,,,,,19214.0,,,,,,,,,,,,,10546.76,,,,,,16812.0,,,,,41461.85,,
June 2018,Paschim Bardhaman,,134.06,,,,,,,288.0,,1048.0,,,,,,148.0,,,,,,,,,,,,,450.0,,,,,,,,,,,,,424.58,,,,,,436.0,,,,,1445.54,,
June 2018,Paschim Medinipur,,310.41,,,,,,,17627.0,,61710.0,,,,,,334.0,,,,,,,,,,,,,23029.0,,,,,,,,,,,,,17150.25,,,,,,18456.0,,,,,71415.27,,
June 2018,Purba Bardhaman,,1313.28,,,,,,,22798.0,,64990.0,,,,,,1663.0,,,,,,,,,,,,,28028.0,,,,,,,,,,,,,19190.81,,,,,,25689.0,,,,,75699.3,,
June 2018,Purba Medinipur,,622.0,,,,,,,18870.0,,33642.0,,,,,,835.0,,,,,,,,,,,,,20792.0,,,,,,,,,,,,,13079.63,,,,,,20424.0,,,,,45955.85,,
June 2018,Purulia,,308.7,,,,,,,9489.0,,27763.0,,,,,,418.0,,,,,,,,,,,,,12293.0,,,,,,,,,,,,,7161.29,,,,,,10220.0,,,,,30370.15,,
June 2018,Uttar Dinajpur,,234.41,,,,,,,11375.0,,24862.0,,,,,,320.0,,,,,,,,,,,,,12794.0,,,,,,,,,,,,,8230.36,,,,,,11939.0,,,,,31748.21,,
June 2019,Alipurduar,0.0,,,,,,,0.0,,,581.0,,,,,0.0,,,,,,,,,,,,,0.0,,259.0,,,,,551.67,,,,401.16,,,,,,,,,,,,,,,,
June 2019,Bankura,0.0,,,,,,,0.0,,,856.0,,,,,0.0,,,,,,,,,,,,,0.0,,382.0,,,,,1023.99,,,,292.02,,,,,,,,,,,,,,,,
June 2019,Birbhum,0.0,,,,,,,0.0,,,323.0,,,,,0.0,,,,,,,,,,,,,0.0,,251.0,,,,,499.15,,,,150.26,,,,,,,,,,,,,,,,
June 2019,Cooch Behar,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Dakshin Dinajpur,0.0,,,,,,,0.0,,,75.0,,,,,0.0,,,,,,,,,,,,,0.0,,208.0,,,,,444.48,,,,213.91,,,,,,,,,,,,,,,,
June 2019,Darjeeling,0.0,,,,,,,0.0,,,50.0,,,,,0.0,,,,,,,,,,,,,0.0,,14.0,,,,,50.0,,,,15.0,,,,,,,,,,,,,,,,
June 2019,Hooghly,0.0,,,,,,,0.0,,,1902.0,,,,,0.0,,,,,,,,,,,,,0.0,,572.0,,,,,1908.15,,,,595.7,,,,,,,,,,,,,,,,
June 2019,Howrah,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Jalpaiguri,0.0,,,,,,,0.0,,,815.0,,,,,0.0,,,,,,,,,,,,,0.0,,432.0,,,,,1079.53,,,,346.48,,,,,,,,,,,,,,,,
June 2019,Jhargram,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Kalimpong,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Kolkata,0.0,,,,,,,0.0,,,230.0,,,,,0.0,,,,,,,,,,,,,0.0,,220.0,,,,,825.7,,,,238.07,,,,,,,,,,,,,,,,
June 2019,Malda,0.0,,,,,,,0.0,,,567.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Murshidabad,0.0,,,,,,,0.0,,,1370.0,,,,,0.0,,,,,,,,,,,,,0.0,,341.0,,,,,816.51,,,,246.59,,,,,,,,,,,,,,,,
June 2019,Nadia,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,North 24 Parganas,0.0,,,,,,,0.0,,,740.0,,,,,0.0,,,,,,,,,,,,,0.0,,222.0,,,,,540.76,,,,162.93,,,,,,,,,,,,,,,,
June 2019,Paschim Bardhaman,0.0,,,,,,,0.0,,,514.0,,,,,0.0,,,,,,,,,,,,,0.0,,30.0,,,,,109.65,,,,31.91,,,,,,,,,,,,,,,,
June 2019,Paschim Medinipur,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Purba Bardhaman,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Purba Medinipur,0.0,,,,,,,0.0,,,951.0,,,,,0.0,,,,,,,,,,,,,0.0,,602.0,,,,,1693.1,,,,487.62,,,,,,,,,,,,,,,,
June 2019,Purulia,0.0,,,,,,,0.0,,,23.0,,,,,0.0,,,,,,,,,,,,,0.0,,90.0,,,,,219.86,,,,65.96,,,,,,,,,,,,,,,,
June 2019,South 24 Parganas,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
June 2019,Uttar Dinajpur,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
March 2016,Alipurduar,,,,,,,3296.0,,,8042.0,,,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506.17,,,3801.0,,,,,,,,10538.46,,
March 2016,Bankura,,,,,,,10313.0,,,27497.0,,,,,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7713.66,,,11916.0,,,,,,,,31177.2,,
March 2016,Birbhum,,,,,,,14041.0,,,35929.0,,,,,511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9990.43,,,15323.0,,,,,,,,40372.42,,
March 2016,Cooch Behar,,,,,,,9873.0,,,23523.0,,,,,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.43,,,10498.0,,,,,,,,20679.65,,
March 2016,Dakshin Dinajpur,,,,,,,9206.0,,,18265.0,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.43,,,10034.0,,,,,,,,22243.89,,
March 2016,Darjeeling,,,,,,,2472.0,,,9012.0,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.13,,,2834.0,,,,,,,,6298.89,,
March 2016,Hooghly,,,,,,,13022.0,,,34549.0,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9159.0,,,13672.0,,,,,,,,34691.93,,
March 2016,Howrah,,,,,,,10324.0,,,32925.0,,,,,539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737.14,,,11373.0,,,,,,,,19987.35,,
March 2016,Jalpaiguri,,,,,,,7411.0,,,15025.0,,,,,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664.35,,,8924.0,,,,,,,,30008.88,,
March 2016,Kolkata,,,,,,,7686.0,,,21640.0,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898.38,,,9252.0,,,,,,,,14478.96,,
March 2016,Malda,,,,,,,11788.0,,,53444.0,,,,,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6584.34,,,12752.0,,,,,,,,33147.38,,
March 2016,Murshidabad,,,,,,,16068.0,,,36701.0,,,,,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9979.79,,,17820.0,,,,,,,,44161.1,,
March 2016,Nadia,,,,,,,11948.0,,,34762.0,,,,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7155.68,,,12801.0,,,,,,,,30278.38,,
March 2016,Paschim Medinipur,,,,,,,12399.0,,,41097.0,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10923.81,,,13056.0,,,,,,,,50661.17,,
March 2016,Purba Medinipur,,,,,,,13385.0,,,24408.0,,,,,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8073.45,,,14380.0,,,,,,,,27919.01,,
March 2016,Purulia,,,,,,,6592.0,,,20997.0,,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169.68,,,7443.0,,,,,,,,21923.22,,
March 2016,Uttar Dinajpur,,,,,,,7586.0,,,18460.0,,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5044.55,,,8140.0,,,,,,,,20833.3,,
March 2017,Alipurduar,,,360.97,2356.37,,,,,3714.0,,,9501.0,,,,,,,,,,,415.0,,,,,,,4324.0,,,,,,,,,,,,,,,2951.71,,,,,4180.0,,,,,12027.78,
March 2017,Bankura,,,408.6,7196.82,,,,,12556.0,,,31208.0,,,,,,,,,,,549.0,,,,,,,15393.0,,,,,,,,,,,,,,,8859.02,,,,,13863.0,,,,,35253.01,
March 2017,Birbhum,,,1022.57,7902.74,,,,,15408.0,,,38697.0,,,,,,,,,,,1777.0,,,,,,,20490.0,,,,,,,,,,,,,,,11086.96,,,,,18085.0,,,,,44075.03,
March 2017,Cooch Behar,,,409.84,5050.06,,,,,11012.0,,,27558.0,,,,,,,,,,,764.0,,,,,,,13461.0,,,,,,,,,,,,,,,6638.2,,,,,11962.0,,,,,25508.55,
March 2017,Dakshin Dinajpur,,,121.84,4533.33,,,,,10007.0,,,20498.0,,,,,,,,,,,218.0,,,,,,,11384.0,,,,,,,,,,,,,,,4889.95,,,,,10847.0,,,,,24376.58,
March 2017,Darjeeling,,,79.36,1468.14,,,,,2699.0,,,9610.0,,,,,,,,,,,70.0,,,,,,,3958.0,,,,,,,,,,,,,,,1740.72,,,,,3043.0,,,,,6891.27,
March 2017,Hooghly,,,340.66,8665.55,,,,,15007.0,,,40493.0,,,,,,,,,,,400.0,,,,,,,17218.0,,,,,,,,,,,,,,,10873.68,,,,,15951.0,,,,,40461.18,
March 2017,Howrah,,,293.94,5084.09,,,,,11976.0,,,36640.0,,,,,,,,,,,471.0,,,,,,,13443.0,,,,,,,,,,,,,,,5827.03,,,,,12970.0,,,,,23678.96,
March 2017,Jalpaiguri,,,596.58,5516.08,,,,,8898.0,,,18879.0,,,,,,,,,,,737.0,,,,,,,11603.0,,,,,,,,,,,,,,,7591.56,,,,,10433.0,,,,,36024.1,
March 2017,Kolkata,,,156.91,3712.14,,,,,8245.0,,,22722.0,,,,,,,,,,,197.0,,,,,,,9843.0,,,,,,,,,,,,,,,4481.06,,,,,9839.0,,,,,18471.48,
March 2017,Malda,,,485.26,6574.01,,,,,12922.0,,,58479.0,,,,,,,,,,,533.0,,,,,,,15325.0,,,,,,,,,,,,,,,8473.41,,,,,14087.0,,,,,39444.3,
March 2017,Murshidabad,,,481.45,9753.97,,,,,18669.0,,,39918.0,,,,,,,,,,,719.0,,,,,,,20874.0,,,,,,,,,,,,,,,11239.04,,,,,20389.0,,,,,48170.62,
March 2017,Nadia,,,576.99,6407.62,,,,,13157.0,,,38970.0,,,,,,,,,,,806.0,,,,,,,16627.0,,,,,,,,,,,,,,,8544.2,,,,,14614.0,,,,,34725.96,
March 2017,Paschim Medinipur,,,110.95,10243.85,,,,,14619.0,,,50068.0,,,,,,,,,,,102.0,,,,,,,19128.0,,,,,,,,,,,,,,,13884.61,,,,,15192.0,,,,,60529.76,
March 2017,Purba Medinipur,,,513.29,9076.78,,,,,15141.0,,,28503.0,,,,,,,,,,,812.0,,,,,,,17120.0,,,,,,,,,,,,,,,10026.26,,,,,16614.0,,,,,35769.97,
March 2017,Purulia,,,372.04,4547.36,,,,,7521.0,,,23673.0,,,,,,,,,,,539.0,,,,,,,10362.0,,,,,,,,,,,,,,,5687.23,,,,,8335.0,,,,,25520.71,
March 2017,Uttar Dinajpur,,,215.31,5519.22,,,,,9034.0,,,21082.0,,,,,,,,,,,273.0,,,,,,,10727.0,,,,,,,,,,,,,,,6611.39,,,,,9551.0,,,,,26285.36,
March 2018,Alipurduar,,516.2,,,,,,,4180.0,,11596.0,,,,,,509.0,,,,,,,,,,,,,5094.0,,,,,,,,,,,,,3619.04,,,,,,4860.0,,,,,14253.19,,
March 2018,Bankura,,801.29,,,,,,,14955.0,,37419.0,,,,,,1182.0,,,,,,,,,,,,,18731.0,,,,,,,,,,,,,11066.19,,,,,,16945.0,,,,,42842.44,,
March 2018,Birbhum,,889.94,,,,,,,18962.0,,44181.0,,,,,,1556.0,,,,,,,,,,,,,23606.0,,,,,,,,,,,,,12835.43,,,,,,21577.0,,,,,49744.96,,
March 2018,Cooch Behar,,648.15,,,,,,,13530.0,,31869.0,,,,,,1095.0,,,,,,,,,,,,,16370.0,,,,,,,,,,,,,8281.53,,,,,,14800.0,,,,,31017.29,,
March 2018,Dakshin Dinajpur,,239.61,,,,,,,10886.0,,23316.0,,,,,,411.0,,,,,,,,,,,,,12468.0,,,,,,,,,,,,,5524.81,,,,,,11919.0,,,,,26674.84,,
March 2018,Darjeeling,,40.5,,,,,,,2932.0,,10319.0,,,,,,46.0,,,,,,,,,,,,,4087.0,,,,,,,,,,,,,2110.4,,,,,,3287.0,,,,,8153.95,,
March 2018,Hooghly,,516.81,,,,,,,17774.0,,47637.0,,,,,,536.0,,,,,,,,,,,,,20229.0,,,,,,,,,,,,,13633.24,,,,,,18906.0,,,,,49777.07,,
March 2018,Howrah,,402.16,,,,,,,13852.0,,40876.0,,,,,,590.0,,,,,,,,,,,,,15429.0,,,,,,,,,,,,,7182.49,,,,,,14965.0,,,,,28391.88,,
March 2018,Jalpaiguri,,998.49,,,,,,,11462.0,,24646.0,,,,,,1436.0,,,,,,,,,,,,,15243.0,,,,,,,,,,,,,10366.98,,,,,,13798.0,,,,,45262.15,,
March 2018,Jhargram,,30.65,,,,,,,709.0,,2588.0,,,,,,26.0,,,,,,,,,,,,,1046.0,,,,,,,,,,,,,1291.61,,,,,,735.0,,,,,4311.32,,
March 2018,Kalimpong,,0.0,,,,,,,1.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,0.0,,
March 2018,Kolkata,,394.31,,,,,,,8785.0,,24033.0,,,,,,462.0,,,,,,,,,,,,,10669.0,,,,,,,,,,,,,5362.77,,,,,,10600.0,,,,,21277.35,,
March 2018,Malda,,684.11,,,,,,,14571.0,,60907.0,,,,,,797.0,,,,,,,,,,,,,17442.0,,,,,,,,,,,,,10198.94,,,,,,16000.0,,,,,45196.08,,
March 2018,Murshidabad,,657.25,,,,,,,21875.0,,44710.0,,,,,,948.0,,,,,,,,,,,,,24406.0,,,,,,,,,,,,,14225.69,,,,,,23868.0,,,,,59833.34,,
March 2018,Nadia,,322.57,,,,,,,15697.0,,44099.0,,,,,,413.0,,,,,,,,,,,,,18556.0,,,,,,,,,,,,,9997.04,,,,,,16812.0,,,,,39545.68,,
March 2018,Paschim Bardhaman,,145.2,,,,,,,263.0,,710.0,,,,,,173.0,,,,,,,,,,,,,381.0,,,,,,,,,,,,,364.92,,,,,,436.0,,,,,1248.34,,
March 2018,Paschim Medinipur,,350.9,,,,,,,17372.0,,59976.0,,,,,,361.0,,,,,,,,,,,,,22564.0,,,,,,,,,,,,,16733.73,,,,,,18228.0,,,,,70026.84,,
March 2018,Purba Bardhaman,,953.84,,,,,,,23049.0,,62307.0,,,,,,1223.0,,,,,,,,,,,,,26767.0,,,,,,,,,,,,,17946.03,,,,,,25500.0,,,,,72260.04,,
March 2018,Purba Medinipur,,335.01,,,,,,,19321.0,,33057.0,,,,,,375.0,,,,,,,,,,,,,20541.0,,,,,,,,,,,,,12887.37,,,,,,20415.0,,,,,45308.37,,
