period,district,disb_am,disb_amt,disbursement_amt,kishor_no_of_a_cs,kishore_no,kishore_no_of_a_cs,kishore_sanction_no,sanc_amt,sanctioned_amt,shishu_no,shishu_no_of_a_cs,sishu_sanction_no,tarun_no,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,tarun_sanctio_n_no,total,total_amount_rs_in_crore_no_of_a_cs,total_no,total_no_of_a_cs
December 2017,Alipurduar,,,181.88,,,2087.0,,,245.75,,58141.0,,,10.0,,,,,,60238.0
December 2017,Bankura,,,217.02,,,3863.0,,,227.84,,49550.0,,,493.0,,,,,,53906.0
December 2017,Birbhum,,,431.77,,,7020.0,,,438.21,,117825.0,,,516.0,,,,,,125361.0
December 2017,Cooch Behar,,,517.11,,,7915.0,,,553.1,,150407.0,,,290.0,,,,,,158612.0
December 2017,Dakshin Dinajpur,,,195.78,,,2386.0,,,202.36,,57519.0,,,196.0,,,,,,60101.0
December 2017,Howrah,,,686.81,,,8049.0,,,704.69,,186099.0,,,886.0,,,,,,195034.0
December 2017,Jalpaiguri,,,473.1,,,6694.0,,,496.05,,151024.0,,,565.0,,,,,,158283.0
December 2017,Kalimpong,,,2.09,,,99.0,,,2.09,,352.0,,,0.0,,,,,,451.0
December 2017,Kolkata,,,944.29,,,9885.0,,,983.29,,171258.0,,,4411.0,,,,,,185554.0
December 2017,Malda,,,397.64,,,5501.0,,,406.42,,105852.0,,,497.0,,,,,,111850.0
December 2017,Murshidabad,,,907.23,,,8275.0,,,940.01,,292423.0,,,645.0,,,,,,301343.0
December 2017,Nadia,,,699.18,,,7619.0,,,730.56,,213529.0,,,821.0,,,,,,221969.0
December 2017,North 24 Parganas,,,1117.44,,,13808.0,,,1149.33,,295200.0,,,1912.0,,,,,,310920.0
December 2017,Paschim Medinipur,,,498.83,,,10023.0,,,518.95,,89521.0,,,1217.0,,,,,,100761.0
December 2017,Purba Bardhaman,,,837.85,,,11035.0,,,864.75,,206342.0,,,1948.0,,,,,,219325.0
December 2017,Purba Medinipur,,,441.05,,,7831.0,,,455.35,,84029.0,,,952.0,,,,,,92812.0
December 2017,South 24 Parganas,,,788.68,,,9584.0,,,813.06,,225973.0,,,826.0,,,,,,236383.0
December 2017,Uttar Dinajpur,,,393.63,,,4624.0,,,399.58,,110041.0,,,257.0,,,,,,114922.0
December 2019,Alipurduar,,223.92,,,2147.0,,,224.14,,71128.0,,,76.0,,,,,,73351.0,
December 2019,Bankura,,205.32,,,3443.0,,,213.33,,44220.0,,,498.0,,,,,,48161.0,
December 2019,Birbhum,,491.28,,,11417.0,,,502.24,,74753.0,,,4648.0,,,,,,90818.0,
December 2019,Cooch Behar,,285.12,,,3136.0,,,289.6,,78879.0,,,294.0,,,,,,82309.0,
December 2019,Dakshin Dinajpur,,194.3,,,2677.0,,,197.41,,55138.0,,,206.0,,,,,,58021.0,
December 2019,Howrah,,736.66,,,11306.0,,,752.49,,153259.0,,,1207.0,,,,,,165772.0,
December 2019,Jalpaiguri,,468.11,,,5824.0,,,480.76,,131453.0,,,612.0,,,,,,137889.0,
December 2019,Kalimpong,,0.51,,,0.0,,,0.51,,199.0,,,0.0,,,,,,199.0,
December 2019,Kolkata,,1056.63,,,17312.0,,,1086.07,,164085.0,,,4160.0,,,,,,185557.0,
December 2019,Malda,,507.96,,,7543.0,,,514.61,,124626.0,,,12846.0,,,,,,145015.0,
December 2019,Murshidabad,,876.26,,,12532.0,,,887.8,,253363.0,,,12001.0,,,,,,277896.0,
December 2019,Nadia,,719.63,,,9828.0,,,733.22,,182103.0,,,13003.0,,,,,,204934.0,
December 2019,North 24 Parganas,,1094.03,,,17158.0,,,1128.1,,245629.0,,,14023.0,,,,,,276810.0,
December 2019,Paschim Medinipur,,573.05,,,8980.0,,,593.25,,124869.0,,,1361.0,,,,,,135210.0,
December 2019,Purba Bardhaman,,1092.67,,,17865.0,,,1110.55,,202842.0,,,5222.0,,,,,,225929.0,
December 2019,Purba Medinipur,,519.68,,,8378.0,,,535.2,,113696.0,,,942.0,,,,,,123016.0,
December 2019,South 24 Parganas,,767.78,,,12031.0,,,782.4,,186096.0,,,10806.0,,,,,,208933.0,
December 2019,Uttar Dinajpur,,214.48,,,2817.0,,,219.44,,53383.0,,,4611.0,,,,,,60811.0,
December 2020,Alipurduar,,295.5,,,13848.0,,,306.77,,53372.0,,,278.0,,,,,,67498.0,
December 2020,Bankura,,194.37,,,7419.0,,,234.04,,37731.0,,,787.0,,,,,,45937.0,
December 2020,Birbhum,,603.09,,,24917.0,,,641.57,,69604.0,,,887.0,,,,,,95408.0,
December 2020,Cooch Behar,,346.87,,,12565.0,,,355.91,,60752.0,,,487.0,,,,,,73804.0,
December 2020,Dakshin Dinajpur,,216.27,,,7965.0,,,227.1,,47283.0,,,293.0,,,,,,55541.0,
December 2020,Howrah,,798.03,,,32258.0,,,849.44,,142360.0,,,1282.0,,,,,,175900.0,
December 2020,Jalpaiguri,,377.96,,,14092.0,,,404.92,,83938.0,,,624.0,,,,,,98654.0,
December 2020,Jhargram,,38.35,,,1774.0,,,57.95,,6815.0,,,171.0,,,,,,8760.0,
December 2020,Kalimpong,,15.96,,,766.0,,,16.01,,1138.0,,,29.0,,,,,,1933.0,
December 2020,Kolkata,,991.08,,,35952.0,,,1104.93,,124362.0,,,3971.0,,,,,,164285.0,
December 2020,Malda,,512.24,,,21047.0,,,537.46,,109735.0,,,712.0,,,,,,131494.0,
December 2020,Murshidabad,,1110.68,,,48601.0,,,1169.12,,242929.0,,,1016.0,,,,,,292546.0,
December 2020,Nadia,,742.01,,,29734.0,,,827.02,,168622.0,,,1293.0,,,,,,199649.0,
December 2020,North 24 Parganas,,1394.43,,,68084.0,,,1541.88,,240846.0,,,2872.0,,,,,,311802.0,
December 2020,Paschim Medinipur,,412.62,,,16584.0,,,533.88,,80198.0,,,1518.0,,,,,,98300.0,
December 2020,Purba Bardhaman,,266.94,,,5838.0,,,302.29,,74536.0,,,1003.0,,,,,,81377.0,
December 2020,Purba Medinipur,,509.82,,,21179.0,,,594.92,,99688.0,,,1087.0,,,,,,121954.0,
December 2020,South 24 Parganas,,944.22,,,45230.0,,,1030.93,,217001.0,,,1344.0,,,,,,263575.0,
December 2020,Uttar Dinajpur,,257.12,,,8696.0,,,268.37,,62432.0,,,445.0,,,,,,71573.0,
December 2021,Alipurduar,,347.8,,,8028.0,,,357.95,,85945.0,,,519.0,,,,,,94492.0,
December 2021,Bankura,,279.53,,,7542.0,,,302.69,,42799.0,,,1074.0,,,,,,51415.0,
December 2021,Birbhum,,670.12,,,21975.0,,,694.84,,76379.0,,,1266.0,,,,,,99620.0,
December 2021,Cooch Behar,,296.26,,,6903.0,,,325.04,,56553.0,,,1314.0,,,,,,64770.0,
