period,district,1_year_above_no,1_year_and_above,1_year_and_above_62,1_year_and_above_no,6_month_to_below1_year_no,6_months_to_1_year,6_months_to_1_year_20,6_months_to_1_year_no,above_60_day_below_6_months,above_60_day_below_6_months_no,above_60_days_below_6_months,above_60_days_below_6_months_118,above_60_days_to_below_6_months_no,amt,amt_in_cr,below_60_days_no,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days,pending_below_60_days_23,pending_below_60_days_no,pending_below_60_dyas_23,pending_from_6_month_to_1_year_no,sr_no_1,toatal_pending_no,total_pending,total_pending_as_on_31_03_2019_223,total_pending_as_on_31_03_2020,total_pending_as_on_31_06_2019,total_pending_as_on_31_12_2018_223,total_pending_as_on_31_12_2019,total_pending_no
December 2018,Alipurduar,,,6.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,21.0,,,,,,6.0,,
December 2018,Bankura,,,10.0,,,,2.0,,,,,2.0,,,,,,,,,,0.0,,3.0,,,,,,14.0,,
December 2018,Birbhum,,,9.0,,,,0.0,,,,,8.0,,,,,,,,,,5.0,,4.0,,,,,,22.0,,
December 2018,Cooch Behar,,,15.0,,,,0.0,,,,,12.0,,,,,,,,,,0.0,,22.0,,,,,,27.0,,
December 2018,Dakshin Dinajpur,,,16.0,,,,13.0,,,,,1.0,,,,,,,,,,0.0,,5.0,,,,,,30.0,,
December 2018,Darjeeling,,,7.0,,,,1.0,,,,,5.0,,,,,,,,,,1.0,,6.0,,,,,,14.0,,
December 2018,Hooghly,,,75.0,,,,15.0,,,,,17.0,,,,,,,,,,24.0,,7.0,,,,,,131.0,,
December 2018,Howrah,,,45.0,,,,10.0,,,,,14.0,,,,,,,,,,20.0,,8.0,,,,,,89.0,,
December 2018,Jalpaiguri,,,8.0,,,,11.0,,,,,4.0,,,,,,,,,,2.0,,9.0,,,,,,25.0,,
December 2018,Jhargram,,,0.0,,,,5.0,,,,,0.0,,,,,,,,,,0.0,,10.0,,,,,,5.0,,
December 2018,Kalimpong,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,23.0,,,,,,0.0,,
December 2018,Kolkata,,,25.0,,,,4.0,,,,,1.0,,,,,,,,,,2.0,,11.0,,,,,,32.0,,
December 2018,Malda,,,44.0,,,,14.0,,,,,5.0,,,,,,,,,,2.0,,12.0,,,,,,65.0,,
December 2018,Murshidabad,,,128.0,,,,82.0,,,,,2.0,,,,,,,,,,18.0,,13.0,,,,,,230.0,,
December 2018,Nadia,,,54.0,,,,19.0,,,,,10.0,,,,,,,,,,0.0,,14.0,,,,,,83.0,,
December 2018,Paschim Bardhaman,,,16.0,,,,11.0,,,,,10.0,,,,,,,,,,3.0,,15.0,,,,,,40.0,,
December 2018,Paschim Medinipur,,,24.0,,,,6.0,,,,,9.0,,,,,,,,,,1.0,,16.0,,,,,,40.0,,
December 2018,Purba Bardhaman,,,21.0,,,,11.0,,,,,17.0,,,,,,,,,,6.0,,17.0,,,,,,55.0,,
December 2018,Purba Medinipur,,,83.0,,,,12.0,,,,,4.0,,,,,,,,,,0.0,,18.0,,,,,,99.0,,
December 2018,Purulia,,,4.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,19.0,,,,,,4.0,,
December 2018,Uttar Dinajpur,,,22.0,,,,9.0,,,,,2.0,,,,,,,,,,0.0,,20.0,,,,,,33.0,,
December 2019,Alipurduar,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,
December 2019,Bankura,,10.0,,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,15.0,
December 2019,Birbhum,,7.0,,,,12.0,,,,,16.0,,,,,,,,5.0,,,,,,,,,,,,40.0,
December 2019,Cooch Behar,,12.0,,,,21.0,,,,,13.0,,,,,,,,1.0,,,,,,,,,,,,47.0,
December 2019,Dakshin Dinajpur,,83.0,,,,5.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,88.0,
December 2019,Darjeeling,,15.0,,,,2.0,,,,,7.0,,,,,,,,7.0,,,,,,,,,,,,31.0,
December 2019,Hooghly,,117.0,,,,20.0,,,,,57.0,,,,,,,,3.0,,,,,,,,,,,,197.0,
December 2019,Howrah,,61.0,,,,9.0,,,,,69.0,,,,,,,,3.0,,,,,,,,,,,,142.0,
December 2019,Jalpaiguri,,15.0,,,,5.0,,,,,8.0,,,,,,,,1.0,,,,,,,,,,,,29.0,
December 2019,Jhargram,,4.0,,,,3.0,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,9.0,
December 2019,Kalimpong,,5.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,5.0,
December 2019,Kolkata,,188.0,,,,54.0,,,,,45.0,,,,,,,,26.0,,,,,,,,,,,,313.0,
December 2019,Malda,,60.0,,,,41.0,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,107.0,
December 2019,Murshidabad,,165.0,,,,76.0,,,,,13.0,,,,,,,,27.0,,,,,,,,,,,,281.0,
December 2019,Nadia,,47.0,,,,15.0,,,,,10.0,,,,,,,,4.0,,,,,,,,,,,,76.0,
December 2019,Paschim Bardhaman,,82.0,,,,30.0,,,,,40.0,,,,,,,,3.0,,,,,,,,,,,,155.0,
December 2019,Paschim Medinipur,,35.0,,,,16.0,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,,57.0,
December 2019,Purba Bardhaman,,50.0,,,,35.0,,,,,16.0,,,,,,,,2.0,,,,,,,,,,,,103.0,
December 2019,Purba Medinipur,,107.0,,,,17.0,,,,,16.0,,,,,,,,0.0,,,,,,,,,,,,140.0,
December 2019,Purulia,,11.0,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,13.0,
December 2019,Uttar Dinajpur,,46.0,,,,7.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,58.0,
December 2020,Alipurduar,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,
December 2020,Bankura,,19.0,,,,5.0,,,,,3.0,,,,,,,,0.0,,,,,,,27.0,,,,,,
December 2020,Birbhum,,26.0,,,,7.0,,,,,2.0,,,,,,,,2.0,,,,,,,37.0,,,,,,
December 2020,Cooch Behar,,17.0,,,,2.0,,,,,3.0,,,,,,,,0.0,,,,,,,22.0,,,,,,
December 2020,Dakshin Dinajpur,,48.0,,,,5.0,,,,,3.0,,,,,,,,0.0,,,,,,,56.0,,,,,,
December 2020,Darjeeling,,33.0,,,,16.0,,,,,2.0,,,,,,,,1.0,,,,,,,52.0,,,,,,
December 2020,Hooghly,,94.0,,,,22.0,,,,,8.0,,,,,,,,17.0,,,,,,,141.0,,,,,,
December 2020,Howrah,,102.0,,,,54.0,,,,,6.0,,,,,,,,2.0,,,,,,,164.0,,,,,,
December 2020,Jalpaiguri,,16.0,,,,1.0,,,,,0.0,,,,,,,,0.0,,,,,,,17.0,,,,,,
December 2020,Jhargram,,3.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,3.0,,,,,,
December 2020,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,
December 2020,Kolkata,,170.0,,,,62.0,,,,,0.0,,,,,,,,2.0,,,,,,,234.0,,,,,,
December 2020,Malda,,76.0,,,,17.0,,,,,0.0,,,,,,,,4.0,,,,,,,97.0,,,,,,
December 2020,Murshidabad,,108.0,,,,76.0,,,,,14.0,,,,,,,,0.0,,,,,,,198.0,,,,,,
December 2020,Nadia,,44.0,,,,19.0,,,,,0.0,,,,,,,,0.0,,,,,,,63.0,,,,,,
December 2020,Paschim Bardhaman,,49.0,,,,28.0,,,,,5.0,,,,,,,,2.0,,,,,,,84.0,,,,,,
December 2020,Paschim Medinipur,,40.0,,,,8.0,,,,,2.0,,,,,,,,0.0,,,,,,,50.0,,,,,,
December 2020,Purba Bardhaman,,60.0,,,,13.0,,,,,8.0,,,,,,,,6.0,,,,,,,87.0,,,,,,
December 2020,Purba Medinipur,,54.0,,,,8.0,,,,,4.0,,,,,,,,0.0,,,,,,,66.0,,,,,,
December 2020,Purulia,,16.0,,,,3.0,,,,,2.0,,,,,,,,2.0,,,,,,,23.0,,,,,,
December 2020,Uttar Dinajpur,,32.0,,,,1.0,,,,,1.0,,,,,,,,0.0,,,,,,,34.0,,,,,,
December 2021,Alipurduar,,0.0,,,,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,,
December 2021,Bankura,,21.0,,,,5.0,,,5.0,,,,,,,,,,1.0,,,,,,,32.0,,,,,,
December 2021,Birbhum,,35.0,,,,5.0,,,12.0,,,,,,,,,,4.0,,,,,,,56.0,,,,,,
December 2021,Cooch Behar,,16.0,,,,1.0,,,2.0,,,,,,,,,,0.0,,,,,,,19.0,,,,,,
December 2021,Dakshin Dinajpur,,46.0,,,,6.0,,,2.0,,,,,,,,,,0.0,,,,,,,54.0,,,,,,
December 2021,Darjeeling,,15.0,,,,6.0,,,3.0,,,,,,,,,,1.0,,,,,,,25.0,,,,,,
December 2021,Hooghly,,113.0,,,,37.0,,,56.0,,,,,,,,,,8.0,,,,,,,214.0,,,,,,
December 2021,Howrah,,113.0,,,,63.0,,,14.0,,,,,,,,,,8.0,,,,,,,198.0,,,,,,
December 2021,Jalpaiguri,,20.0,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,22.0,,,,,,
December 2021,Jhargram,,1.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,1.0,,,,,,
