period,district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
December 2020,Alipurduar,734.9,1096.48,564.9,36.78,336.8,1998.18
December 2020,Bankura,3288.18,4102.28,3112.53,40.19,967.02,8181.82
December 2020,Birbhum,3041.28,4299.73,3823.71,32.06,1361.85,9485.3
December 2020,Cooch Behar,2788.14,3176.72,2450.74,42.0,1010.4,6637.86
December 2020,Dakshin Dinajpur,2924.96,3323.59,2619.88,43.9,718.97,6662.44
December 2020,Darjeeling,2176.53,887.42,1621.29,65.27,826.02,3334.73
December 2020,Hooghly,4802.98,4305.55,4070.4,48.35,1557.68,9933.64
December 2020,Howrah,7351.94,2014.6,9796.76,57.37,1004.2,12815.56
December 2020,Jalpaiguri,2989.79,2008.79,2281.45,58.23,843.87,5134.11
December 2020,Jhargram,1656.39,1819.76,1521.29,42.01,601.68,3942.73
December 2020,Kalimpong,294.71,273.38,289.97,44.06,105.56,668.91
December 2020,Kolkata,9609.0,574.94,12397.75,49.01,6632.44,19605.13
December 2020,Malda,4142.55,4064.28,2549.35,42.92,3038.16,9651.79
December 2020,Murshidabad,7030.29,6885.55,5224.48,51.1,1646.58,13756.61
December 2020,Nadia,6232.19,5641.2,5018.05,51.28,1494.06,12153.31
December 2020,Paschim Bardhaman,3491.6,248.41,4278.41,70.59,419.71,4946.53
December 2020,Purba Bardhaman,4440.92,7681.73,3149.4,36.38,1376.68,12207.81
December 2020,Purba Medinipur,6794.62,4710.25,4702.85,59.8,1949.1,11362.2
December 2020,Purulia,3559.2,2639.87,2786.9,54.71,1078.48,6505.25
December 2020,Uttar Dinajpur,1984.88,2588.93,747.16,46.64,919.51,4255.6
December 2021,Alipurduar,863.87,1292.61,516.55,40.76,310.05,2119.21
December 2021,Bankura,5859.53,4432.3,3723.11,64.55,921.43,9076.84
December 2021,Birbhum,4716.29,4634.15,3723.15,48.55,1356.1,9713.4
December 2021,Cooch Behar,3470.61,3725.89,2135.52,50.93,953.34,6814.75
December 2021,Dakshin Dinajpur,5656.73,3862.15,3804.44,66.82,799.64,8466.23
December 2021,Darjeeling,2776.37,997.02,1905.14,72.58,922.99,3825.15
December 2021,Hooghly,4425.19,4611.24,4333.84,42.04,1581.11,10526.19
December 2021,Howrah,9843.08,2141.08,11440.81,67.14,1079.36,14661.25
December 2021,Jalpaiguri,2393.6,2303.21,2490.94,41.32,998.51,5792.66
December 2021,Jhargram,3026.25,2117.51,1774.4,65.32,741.29,4633.2
December 2021,Kalimpong,179.68,297.35,325.45,24.63,106.79,729.59
December 2021,Kolkata,11733.57,614.55,13792.23,54.41,7156.76,21563.54
December 2021,Malda,5979.08,5751.32,2407.38,53.82,2949.97,11108.67
December 2021,Murshidabad,9751.02,7606.64,5388.68,65.79,1827.15,14822.47
December 2021,Nadia,9556.0,6393.07,6232.77,66.71,1699.48,14325.32
December 2021,Paschim Bardhaman,3930.58,306.48,5049.93,67.87,434.81,5791.22
December 2021,Paschim Medinipur,10152.46,8432.24,5371.25,64.55,1925.64,15729.13
December 2021,Purba Bardhaman,7090.29,8142.25,4038.52,51.99,1457.78,13638.55
December 2021,Purba Medinipur,7773.7,5567.84,5109.98,61.34,1995.45,12673.27
December 2021,Purulia,3805.46,3438.91,2881.61,51.28,1100.24,7420.76
December 2021,Uttar Dinajpur,3405.0,2929.71,954.75,70.18,967.27,4851.73
December 2022,Alipurduar,1962.91,1418.66,496.08,84.41,410.81,2325.55
December 2022,Bankura,6474.56,4744.7,3995.41,66.07,1059.96,9800.07
December 2022,Birbhum,3833.37,5254.45,3582.59,37.55,1370.78,10207.82
December 2022,Cooch Behar,5177.91,4281.89,2075.0,69.04,1143.33,7500.21
December 2022,Dakshin Dinajpur,6929.66,4524.73,3936.37,74.15,883.75,9344.86
December 2022,Darjeeling,3617.09,1088.05,1953.44,90.58,951.65,3993.14
December 2022,Hooghly,10230.44,5368.85,4567.2,88.49,1625.11,11561.16
December 2022,Howrah,11589.88,2574.37,11397.5,76.03,1271.14,15243.01
December 2022,Jalpaiguri,2929.59,2430.51,2558.81,50.22,843.85,5833.16
December 2022,Jhargram,3075.79,2786.93,1899.24,56.05,801.52,5487.69
December 2022,Kalimpong,123.78,319.69,315.43,16.68,106.81,741.93
December 2022,Kolkata,18764.8,665.06,14546.63,82.5,7534.17,22745.86
December 2022,Malda,7095.7,6237.69,2644.32,58.51,3246.19,12128.2
December 2022,Murshidabad,12571.39,8128.64,6246.25,74.98,2390.38,16765.26
December 2022,Nadia,11671.05,6542.09,6103.12,80.4,1871.57,14516.78
December 2022,Paschim Bardhaman,5396.51,325.2,5951.01,79.6,503.51,6779.72
December 2022,Purba Bardhaman,8864.1,8627.61,4655.94,59.34,1654.18,14937.73
December 2022,Purba Medinipur,9056.74,6073.74,5273.22,67.55,2059.59,13406.56
