period,district,pending_nos,rejected_nos,s_n,sanctioned_nos,sn,total_nos
June 2025,Alipurduar,0.0,0.0,22.0,0.0,,0.0
June 2025,Bankura,1.0,2.0,7.0,1.0,,4.0
June 2025,Birbhum,3.0,6.0,2.0,2.0,7.0,11.0
June 2025,Cooch Behar,2.0,2.0,6.0,1.0,,5.0
June 2025,Darjeeling,0.0,0.0,16.0,0.0,,0.0
June 2025,Hooghly,1.0,1.0,4.0,2.0,8.0,4.0
June 2025,Howrah,2.0,12.0,3.0,2.0,1.0,4.0
June 2025,Jalpaiguri,0.0,0.0,21.0,0.0,,0.0
June 2025,Jhargram,0.0,0.0,23.0,0.0,,0.0
June 2025,Kalimpong,0.0,0.0,18.0,0.0,,0.0
June 2025,Kolkata,0.0,0.0,20.0,0.0,,0.0
June 2025,Malda,0.0,3.0,8.0,1.0,4.0,4.0
June 2025,Murshidabad,1.0,2.0,10.0,0.0,,3.0
June 2025,Nadia,0.0,0.0,15.0,0.0,,0.0
June 2025,North 24 Parganas,11.0,2.0,1.0,3.0,3.0,16.0
June 2025,Paschim Bardhaman,0.0,1.0,14.0,0.0,,1.0
June 2025,Paschim Medinipur,0.0,2.0,12.0,0.0,,2.0
June 2025,Purba Bardhaman,1.0,4.0,5.0,1.0,,6.0
June 2025,Purba Medinipur,0.0,1.0,11.0,0.0,,1.0
June 2025,Purulia,0.0,0.0,9.0,1.0,5.0,1.0
June 2025,South 24 Parganas,0.0,2.0,13.0,0.0,,2.0
June 2025,Uttar Dinajpur,0.0,0.0,19.0,0.0,,0.0
March 2025,Alipurduar,0.0,0.0,22.0,0.0,,0.0
March 2025,Bankura,1.0,2.0,7.0,1.0,,4.0
March 2025,Birbhum,3.0,6.0,2.0,2.0,7.0,11.0
March 2025,Cooch Behar,2.0,2.0,6.0,1.0,,5.0
March 2025,Darjeeling,0.0,0.0,16.0,0.0,,0.0
March 2025,Hooghly,1.0,1.0,4.0,2.0,8.0,4.0
March 2025,Howrah,2.0,12.0,3.0,2.0,1.0,4.0
March 2025,Jalpaiguri,0.0,0.0,21.0,0.0,,0.0
March 2025,Jhargram,0.0,0.0,23.0,0.0,,0.0
March 2025,Kalimpong,0.0,0.0,18.0,0.0,,0.0
March 2025,Kolkata,0.0,0.0,20.0,0.0,,0.0
March 2025,Malda,0.0,3.0,8.0,1.0,4.0,4.0
March 2025,Murshidabad,1.0,2.0,10.0,0.0,,3.0
March 2025,Nadia,0.0,0.0,15.0,0.0,,0.0
March 2025,North 24 Parganas,11.0,2.0,1.0,3.0,3.0,16.0
March 2025,Paschim Bardhaman,0.0,1.0,14.0,0.0,,1.0
March 2025,Paschim Medinipur,0.0,2.0,12.0,0.0,,2.0
March 2025,Purba Bardhaman,1.0,4.0,5.0,1.0,,6.0
March 2025,Purba Medinipur,0.0,1.0,11.0,0.0,,1.0
March 2025,Purulia,0.0,0.0,9.0,1.0,5.0,1.0
March 2025,South 24 Parganas,0.0,2.0,13.0,0.0,,2.0
March 2025,Uttar Dinajpur,0.0,0.0,19.0,0.0,,0.0
