period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,aapb_achieved_in_current_fy_2024_25_34,aapb_achieved_in_current_fy_2024_25_64,aapb_achieved_in_current_fy_2025_26,aapb_achieved_in_current_fy_2025_26_94,aapb_achieved_in_current_fy_60_85,aapb_achieved_in_current_fy_91,aapb_target,aapb_target_100,aapb_target_370,achivement,annual_target,annual_target_74515,annual_target_79_140,annual_target_achievement_in_current_fy_101,annual_target_achievement_in_current_fy_2024_25_20,annual_target_achievement_in_current_fy_2024_25_79,annual_target_achievement_in_current_fy_2025_26,annual_target_achievement_in_current_fy_2025_26_116,annual_target_achievement_in_current_fy_67_74,apy_accounts_opened_in_current_fy_2024_25_14884,apy_accounts_opened_in_current_fy_2024_25_58730,apy_accounts_opened_in_current_fy_2025_26,apy_accounts_opened_in_current_fy_2025_26_86269,apy_accounts_opened_in_current_fy_53_607,apy_accounts_opened_in_current_fy_80_176,cumulative_apy_accounts_opened_since_inception,cumulative_apy_accounts_opened_since_inception_490267,cumulative_apy_accounts_opened_since_inception_4_04_742,cumulative_apy_accounts_opened_since_inception_4_31_310,cumulative_apy_accounts_opened_since_inception_517805,fy_2021_22_target,fy_2022_23_target,no_of_branches,no_of_branches_881,no_of_branches_916,of_achivement,sr_no_1
December 2022,Alipurduar,,,,,,,,,,,,,,7472.0,,,,,,,,,,,,,,,,,,,,,3480.0,4010.0,,,,186.0,
December 2022,Bankura,,,,,,,,,,,,,,21629.0,,,,,,,,,,,,,,,,,,,,,14700.0,17400.0,,,,124.0,
December 2022,Birbhum,,,,,,,,,,,,,,34124.0,,,,,,,,,,,,,,,,,,,,,15870.0,18680.0,,,,183.0,
December 2022,Cooch Behar,,,,,,,,,,,,,,23258.0,,,,,,,,,,,,,,,,,,,,,11130.0,12910.0,,,,180.0,
December 2022,Dakshin Dinajpur,,,,,,,,,,,,,,10212.0,,,,,,,,,,,,,,,,,,,,,6120.0,7150.0,,,,143.0,
December 2022,Darjeeling,,,,,,,,,,,,,,14239.0,,,,,,,,,,,,,,,,,,,,,13650.0,15930.0,,,,89.0,
December 2022,Hooghly,,,,,,,,,,,,,,43438.0,,,,,,,,,,,,,,,,,,,,,27450.0,32290.0,,,,135.0,
December 2022,Howrah,,,,,,,,,,,,,,39475.0,,,,,,,,,,,,,,,,,,,,,23250.0,27160.0,,,,145.0,
December 2022,Jalpaiguri,,,,,,,,,,,,,,23976.0,,,,,,,,,,,,,,,,,,,,,12000.0,13990.0,,,,171.0,
December 2022,Jhargram,,,,,,,,,,,,,,4858.0,,,,,,,,,,,,,,,,,,,,,3390.0,3950.0,,,,123.0,
December 2022,Kalimpong,,,,,,,,,,,,,,1004.0,,,,,,,,,,,,,,,,,,,,,1050.0,1290.0,,,,78.0,
