period,district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode,no_of_operative_sb_a_c_covered_with_at_least_one_digital_mode
December 2024,Alipurduar,94.5,,2389143.0,,
December 2024,Bankura,90.65,,3883488.0,,
December 2024,Birbhum,92.36,,4078042.0,,
December 2024,Cooch Behar,92.84,,3833958.0,,
December 2024,Dakshin Dinajpur,91.99,,2012093.0,,
December 2024,Darjeeling,92.73,,1929715.0,,
December 2024,Hooghly,90.13,134378.0,6809628.0,121116.0,
December 2024,Jalpaiguri,92.33,,2925240.0,,
December 2024,Jhargram,85.59,,1049013.0,,
December 2024,Kalimpong,77.06,5217.0,320519.0,4020.0,
December 2024,Kolkata,86.03,509302.0,9156918.0,438136.0,
December 2024,Malda,90.36,,4582273.0,,
December 2024,Murshidabad,93.28,100486.0,7165455.0,,
December 2024,Paschim Bardhaman,87.93,139613.0,3464487.0,122762.0,
December 2024,Paschim Medinipur,90.58,,5447390.0,,
December 2024,Purba Bardhaman,90.34,,4872570.0,,
December 2024,Purba Medinipur,83.32,124845.0,4887825.0,104024.0,
December 2024,Purulia,87.13,,3014708.0,,
December 2024,Uttar Dinajpur,92.98,,3332596.0,,
June 2024,Alipurduar,89.73,,2300333.0,27777.0,2054740.0
June 2024,Bankura,81.96,,3705775.0,31183.0,3466535.0
June 2024,Birbhum,85.24,,4100371.0,52373.0,3458024.0
June 2024,Cooch Behar,81.65,,3807033.0,35418.0,3119670.0
June 2024,Dakshin Dinajpur,78.29,,2002855.0,16604.0,1834165.0
June 2024,Darjeeling,86.9,,3060722.0,70897.0,2792361.0
June 2024,Hooghly,85.2,132647.0,6675773.0,113019.0,6106264.0
June 2024,Jalpaiguri,87.84,,2825905.0,38731.0,2462861.0
June 2024,Jhargram,74.16,,1002309.0,9358.0,879381.0
June 2024,Kalimpong,70.46,5277.0,,3718.0,
