period,district,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_06_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_09_2016,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_09_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_03_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_03_2018,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_12_2016,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_12_2017,cumulative_no_of_j_l_g_s_c_r_e_d_i_t_l_i_n_ked_as_on_30_09_2017,cumulative_no_of_jlgs_credit_l_i_n_k_e_d_a_s_o_n_31_03_2018,cumulative_no_of_jlgs_credit_linked_as_on_30_06_2017,cumulative_no_of_jlgs_credit_linked_as_on_30_09_2016,cumulative_no_of_jlgs_credit_linked_as_on_31_03_2017,cumulative_no_of_jlgs_credit_linked_as_on_31_12_2016,cumulative_no_of_jlgs_credit_linked_as_on_31_12_2017,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_december,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_march,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_september,loan_disbursed_under_jlg_during_f_y_2017_18_april_to_june,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_december,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_march,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_september,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_december,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_march,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_september,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_december,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_june,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_march,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_september,no_of_jlgs_target_2016_17,no_of_jlgs_target_2017_18
December 2016,Bankura,,,,,,246.84,,,,,,,834.0,,86.87,,,,,,,144.0,,,,,,,7200.0,
December 2016,Birbhum,,,,,,1168.32,,,,,,,1501.0,,138.3,,,,,,,137.0,,,,,,,6000.0,
December 2016,Cooch Behar,,,,,,3374.66,,,,,,,4487.0,,97.11,,,,,,,384.0,,,,,,,2400.0,
December 2016,Dakshin Dinajpur,,,,,,374.41,,,,,,,764.0,,127.41,,,,,,,128.0,,,,,,,1600.0,
December 2016,Darjeeling,,,,,,314.21,,,,,,,556.0,,101.64,,,,,,,108.0,,,,,,,800.0,
December 2016,Hooghly,,,,,,403.85,,,,,,,3488.0,,206.85,,,,,,,526.0,,,,,,,4000.0,
December 2016,Howrah,,,,,,814.64,,,,,,,1712.0,,284.44,,,,,,,342.0,,,,,,,1600.0,
December 2016,Jalpaiguri,,,,,,2234.41,,,,,,,3124.0,,96.23,,,,,,,148.0,,,,,,,2000.0,
December 2016,Malda,,,,,,421.88,,,,,,,1146.0,,14.46,,,,,,,281.0,,,,,,,5600.0,
December 2016,Murshidabad,,,,,,5123.44,,,,,,,12984.0,,304.22,,,,,,,653.0,,,,,,,7200.0,
December 2016,Nadia,,,,,,4289.74,,,,,,,5488.0,,506.31,,,,,,,786.0,,,,,,,2000.0,
December 2016,Purba Bardhaman,,,,,,3127.76,,,,,,,3572.0,,107.48,,,,,,,158.0,,,,,,,8800.0,
December 2016,Purba Medinipur,,,,,,2697.46,,,,,,,4246.0,,741.11,,,,,,,956.0,,,,,,,6400.0,
December 2016,Purulia,,,,,,1789.64,,,,,,,2074.0,,80.42,,,,,,,106.0,,,,,,,4000.0,
December 2016,Uttar Dinajpur,,,,,,2567.74,,,,,,,2584.0,,38.15,,,,,,,64.0,,,,,,,3200.0,
December 2017,Bankura,,,,,,,805.74,,,,,,,985.0,,,,,102.54,,,,,,134.0,,,,,7200.0
December 2017,Birbhum,,,,,,,2032.74,,,,,,,1615.0,,,,,243.64,,,,,,126.0,,,,,6000.0
December 2017,Cooch Behar,,,,,,,4065.87,,,,,,,4787.0,,,,,99.64,,,,,,254.0,,,,,2400.0
December 2017,Dakshin Dinajpur,,,,,,,955.62,,,,,,,859.0,,,,,107.65,,,,,,95.0,,,,,1600.0
December 2017,Darjeeling,,,,,,,891.6,,,,,,,652.0,,,,,83.94,,,,,,101.0,,,,,800.0
December 2017,Hooghly,,,,,,,681.97,,,,,,,4059.0,,,,,137.94,,,,,,451.0,,,,,4000.0
December 2017,Howrah,,,,,,,1420.11,,,,,,,1969.0,,,,,223.71,,,,,,236.0,,,,,1600.0
December 2017,Jalpaiguri,,,,,,,3099.31,,,,,,,3257.0,,,,,72.32,,,,,,124.0,,,,,2000.0
December 2017,Malda,,,,,,,586.22,,,,,,,1393.0,,,,,8.54,,,,,,224.0,,,,,5600.0
December 2017,Murshidabad,,,,,,,7178.94,,,,,,,13682.0,,,,,336.97,,,,,,626.0,,,,,7200.0
December 2017,Nadia,,,,,,,6077.34,,,,,,,6087.0,,,,,318.74,,,,,,581.0,,,,,2000.0
December 2017,Purba Bardhaman,,,,,,,4699.51,,,,,,,3682.0,,,,,85.36,,,,,,120.0,,,,,8800.0
December 2017,Purba Medinipur,,,,,,,4161.22,,,,,,,5248.0,,,,,520.67,,,,,,781.0,,,,,6400.0
