period,district,d_i_s_b_u_rsed_no_0,disbursed_no_21,disbursed_no_s_13,disbursed_nos_9,p_e_n_ding_no_3,pending_6,pending_no_16,pending_no_s_18,r_e_j_e_c_t_ed_no_3,rejected_no_22,rejected_no_s_12,rejected_nos_5,sanctioned_no_1,sanctioned_no_24,sanctioned_no_s_17,sanctioned_nos_14,total_application_submitted_no_6_2,total_application_submitted_no_7,total_application_submitted_no_s_4_7,total_application_submitted_nos_25
December 2024,Alipurduar,0.0,,,,1.0,,,,0.0,,,,1.0,,,,,2.0,,
December 2024,Birbhum,1.0,,,,2.0,,,,0.0,,,,1.0,,,,,3.0,,
December 2024,Cooch Behar,0.0,,,,0.0,,,,4.0,,,,0.0,,,,,4.0,,
December 2024,Darjeeling,2.0,,,,0.0,,,,2.0,,,,3.0,,,,,5.0,,
December 2024,Hooghly,5.0,,,,5.0,,,,8.0,,,,7.0,,,,,20.0,,
December 2024,Howrah,4.0,,,,11.0,,,,1.0,,,,6.0,,,,,18.0,,
December 2024,Jalpaiguri,1.0,,,,5.0,,,,9.0,,,,1.0,,,,,15.0,,
December 2024,Jhargram,1.0,,,,12.0,,,,11.0,,,,1.0,,,,,24.0,,
December 2024,Kalimpong,1.0,,,,0.0,,,,4.0,,,,1.0,,,,,5.0,,
December 2024,Kolkata,0.0,,,,0.0,,,,0.0,,,,2.0,,,,,2.0,,
December 2024,Malda,1.0,,,,4.0,,,,4.0,,,,5.0,,,,,13.0,,
December 2024,Murshidabad,1.0,,,,17.0,,,,18.0,,,,4.0,,,,,39.0,,
December 2024,Nadia,0.0,,,,5.0,,,,30.0,,,,1.0,,,,,36.0,,
December 2024,Purba Bardhaman,1.0,,,,11.0,,,,20.0,,,,2.0,,,,,33.0,,
December 2024,Purulia,0.0,,,,6.0,,,,19.0,,,,6.0,,,,,31.0,,
June 2025,Alipurduar,,,2.0,,,,,4.0,,,3.0,,,,2.0,,,,9.0,
June 2025,Bankura,,,3.0,,,,,33.0,,,34.0,,,,5.0,,,,72.0,
June 2025,Birbhum,,,3.0,,,,,5.0,,,4.0,,,,3.0,,,,12.0,
June 2025,Cooch Behar,,,1.0,,,,,4.0,,,12.0,,,,5.0,,,,21.0,
June 2025,Darjeeling,,,7.0,,,,,3.0,,,3.0,,,,7.0,,,,13.0,
June 2025,Hooghly,,,21.0,,,,,12.0,,,41.0,,,,28.0,,,,81.0,
June 2025,Howrah,,,13.0,,,,,36.0,,,14.0,,,,20.0,,,,70.0,
June 2025,Jalpaiguri,,,3.0,,,,,5.0,,,18.0,,,,4.0,,,,27.0,
June 2025,Jhargram,,,4.0,,,,,11.0,,,19.0,,,,5.0,,,,35.0,
June 2025,Kalimpong,,,2.0,,,,,2.0,,,9.0,,,,2.0,,,,13.0,
June 2025,Kolkata,,,3.0,,,,,8.0,,,3.0,,,,6.0,,,,17.0,
June 2025,Malda,,,6.0,,,,,9.0,,,13.0,,,,9.0,,,,31.0,
June 2025,Murshidabad,,,9.0,,,,,50.0,,,60.0,,,,17.0,,,,,
June 2025,Nadia,,,7.0,,,,,15.0,,,62.0,,,,11.0,,,,88.0,
June 2025,Paschim Bardhaman,,,,,,,,1.0,,,1.0,,,,1.0,,,,3.0,
June 2025,Purba Bardhaman,,,9.0,,,,,16.0,,,38.0,,,,13.0,,,,,
June 2025,Purulia,,,9.0,,,,,5.0,,,53.0,,,,11.0,,,,69.0,
March 2025,Alipurduar,,,,2.0,,1.0,,,,,,2.0,,,,2.0,,,,5.0
March 2025,Bankura,,,,0.0,,30.0,,,,,,16.0,,,,1.0,,,,47.0
March 2025,Birbhum,,,,4.0,,3.0,,,,,,2.0,,,,4.0,,,,9.0
March 2025,Cooch Behar,,,,0.0,,3.0,,,,,,8.0,,,,0.0,,,,11.0
March 2025,Darjeeling,,,,4.0,,1.0,,,,,,2.0,,,,4.0,,,,7.0
March 2025,Hooghly,,,,12.0,,19.0,,,,,,25.0,,,,15.0,,,,59.0
March 2025,Howrah,,,,11.0,,22.0,,,,,,4.0,,,,13.0,,,,39.0
March 2025,Jalpaiguri,,,,2.0,,4.0,,,,,,15.0,,,,3.0,,,,22.0
March 2025,Jhargram,,,,5.0,,15.0,,,,,,14.0,,,,6.0,,,,35.0
March 2025,Kalimpong,,,,2.0,,2.0,,,,,,4.0,,,,2.0,,,,8.0
March 2025,Kolkata,,,,2.0,,1.0,,,,,,0.0,,,,3.0,,,,4.0
March 2025,Malda,,,,6.0,,3.0,,,,,,5.0,,,,8.0,,,,16.0
March 2025,Murshidabad,,,,9.0,,37.0,,,,,,32.0,,,,14.0,,,,83.0
March 2025,Nadia,,,,5.0,,14.0,,,,,,49.0,,,,7.0,,,,70.0
March 2025,Paschim Bardhaman,,,,0.0,,1.0,,,,,,0.0,,,,0.0,,,,1.0
March 2025,Purba Bardhaman,,,,4.0,,17.0,,,,,,31.0,,,,8.0,,,,56.0
March 2025,Purulia,,,,7.0,,9.0,,,,,,41.0,,,,8.0,,,,58.0
September 2025,Alipurduar,,5.0,,,,,4.0,,,4.0,,,,6.0,,,14.0,,,
September 2025,Bankura,,13.0,,,,,28.0,,,41.0,,,,17.0,,,86.0,,,
September 2025,Birbhum,,4.0,,,,,4.0,,,6.0,,,,6.0,,,16.0,,,
September 2025,Cooch Behar,,6.0,,,,,4.0,,,13.0,,,,7.0,,,24.0,,,
September 2025,Darjeeling,,9.0,,,,,2.0,,,7.0,,,,11.0,,,20.0,,,
September 2025,Hooghly,,29.0,,,,,19.0,,,52.0,,,,33.0,,,104.0,,,
September 2025,Howrah,,18.0,,,,,36.0,,,38.0,,,,24.0,,,98.0,,,
September 2025,Jalpaiguri,,4.0,,,,,4.0,,,19.0,,,,6.0,,,29.0,,,
September 2025,Jhargram,,4.0,,,,,22.0,,,27.0,,,,6.0,,,55.0,,,
