period,district,aadhaar_card_seeded,aadhaar_seeded,aadhaar_seeded_3761210,aadhaar_seeded_3874646,aadhaar_seeded_4002741,aadhaar_seeded_4113298,aadhaar_seeded_4183424,aadhaar_seeded_4222009,aadhaar_seeded_42_92_579,ar_cu_psaycard_issued,balance,female,female_a_c,female_a_c_2567394,female_a_c_2639473,female_a_c_2661523,female_a_c_2682533,female_a_c_2720901,female_a_c_2753573,female_a_c_2768521,female_a_c_28_02_794,male,male_a_c,male_a_c_1854039,male_a_c_1908659,male_a_c_1931666,male_a_c_1960628,male_a_c_2000056,male_a_c_2026152,male_a_c_2030800,male_a_c_20_62_767,of_enrolment,rupay_card_account,rupaycar_d_issued,rupaycard_account,rupaycard_issued,rupaycard_issued_3006416,rupaycard_issued_3070738,rupaycard_issued_3174511,rupaycard_issued_3232323,rupaycard_issued_3296888,rupaycard_issued_3341398,rupaycard_issued_34_02_322,rural,rural_a_c,rural_a_c_2593735,rural_a_c_2668797,rural_a_c_2694381,rural_a_c_2741997,rural_a_c_2792432,rural_a_c_2824832,rural_a_c_2834846,rural_a_c_31_20_736,sr_no_1,sum_of_aadhaar_seeded,sum_of_female_a_c,sum_of_male_a_c,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account,total,total_a_c,total_a_c_4421433,total_a_c_4548132,total_a_c_4593189,total_a_c_4643161,total_a_c_4720957,total_a_c_4779725,total_a_c_4799321,total_a_c_48_65_561,total_amount_amt_rs_in_crore,total_amount_rs_in_crore,total_amount_rs_in_lac,total_deposit,total_deposit_2046_39,total_deposit_2175_21,total_deposit_2239_88,total_deposit_2363_54,total_deposit_2402_88,total_deposit_2415_17,total_deposit_2_516_38,total_deposit_cr_2163_45,total_deposit_rs_in_crore,total_depzoesriot,total_enrolment_uner_social_security_schemes,total_enrolment_uner_social_security_schemes_40_48_430,total_enrolment_uner_social_security_schemes_41_57_435,total_enrolment_uner_social_security_schemes_43_73_125,total_enrolment_uner_social_security_schemes_46_07_397,total_enrolment_uner_social_security_schemes_48_65_207,total_enrolment_uner_social_security_schemes_49_88_793,total_enrolment_uner_social_security_schemes_52_64_795,total_no_of_apy,total_no_of_apy_4_31_310,total_no_of_apy_4_46_422,total_no_of_apy_4_69_652,total_no_of_apy_4_90_267,total_no_of_apy_5_17_805,total_no_of_apy_5_35_428,total_no_of_apy_5_64_827,total_no_of_pmjjby,total_no_of_pmjjby_10_77_432,total_no_of_pmjjby_11_68_287,total_no_of_pmjjby_12_00_599,total_no_of_pmjjby_12_82_427,total_no_of_pmjjby_9_17_862,total_no_of_pmjjby_9_44_643,total_no_of_pmjjby_9_98_272,total_no_of_pmsby,total_no_of_pmsby_26_99_258,total_no_of_pmsby_27_66_370,total_no_of_pmsby_29_05_201,total_no_of_pmsby_30_39_698,total_no_of_pmsby_31_79_115,total_no_of_pmsby_32_52_766,total_no_of_pmsby_34_17_541,total_no_pmjdy_a_c,total_no_pmjdy_a_c_45_48_132,total_no_pmjdy_a_c_45_93_189,total_no_pmjdy_a_c_46_43_161,total_no_pmjdy_a_c_47_20_957,total_no_pmjdy_a_c_47_79_725,total_no_pmjdy_a_c_47_99_321,total_no_pmjdy_a_c_48_65_561,urban,urban_a_c,urban_a_c_17_44_825,urban_a_c_1827698,urban_a_c_1879335,urban_a_c_1898808,urban_a_c_1901164,urban_a_c_1928525,urban_a_c_1954893,urban_a_c_1964475,zero_balance_a_c_s,zero_balance_account,zero_balance_account_235497,zero_balance_account_239234,zero_balance_account_241152,zero_balance_account_247758,zero_balance_account_253868,zero_balance_account_261601,zero_balance_account_264148,zero_balance_account_2_67_080
December 2015,Alipurduar,9744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52275.0,,,,,,,,,34361.0,,,,,,,,,,,,,,,,,,,,52860.0,,,,,,,,,,,,1234.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18499.0,,,,,,,,,,,14181.0,,,,,,,,
December 2015,Bankura,183471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558713.0,,,,,,,,,791792.0,,,,,,,,,,,,,,,,,,,,909666.0,,,,,,,,,,,,16516.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117874.0,,,,,,,,,,,244749.0,,,,,,,,
December 2015,Birbhum,269459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649998.0,,,,,,,,,669285.0,,,,,,,,,,,,,,,,,,,,896268.0,,,,,,,,,,,,14437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226983.0,,,,,,,,,,,232722.0,,,,,,,,
December 2015,Cooch Behar,192701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462713.0,,,,,,,,,403917.0,,,,,,,,,,,,,,,,,,,,598219.0,,,,,,,,,,,,7874.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194302.0,,,,,,,,,,,157962.0,,,,,,,,
December 2015,Darjeeling,170398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420562.0,,,,,,,,,269054.0,,,,,,,,,,,,,,,,,,,,466338.0,,,,,,,,,,,,10797.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197284.0,,,,,,,,,,,132047.0,,,,,,,,
December 2015,Hooghly,537841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659639.0,,,,,,,,,516513.0,,,,,,,,,,,,,,,,,,,,889165.0,,,,,,,,,,,,26047.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372652.0,,,,,,,,,,,142700.0,,,,,,,,
December 2015,Howrah,356116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565585.0,,,,,,,,,388260.0,,,,,,,,,,,,,,,,,,,,661809.0,,,,,,,,,,,,19218.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273549.0,,,,,,,,,,,103985.0,,,,,,,,
December 2015,Jalpaiguri,303555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632806.0,,,,,,,,,438994.0,,,,,,,,,,,,,,,,,,,,846327.0,,,,,,,,,,,,16476.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407333.0,,,,,,,,,,,241556.0,,,,,,,,
December 2015,Kolkata,286584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561576.0,,,,,,,,,11981.0,,,,,,,,,,,,,,,,,,,,675681.0,,,,,,,,,,,,47344.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663700.0,,,,,,,,,,,118108.0,,,,,,,,
December 2015,Malda,303714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679163.0,,,,,,,,,998237.0,,,,,,,,,,,,,,,,,,,,1074018.0,,,,,,,,,,,,18279.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75781.0,,,,,,,,,,,181714.0,,,,,,,,
