period,district,sr_no_1,total_enrolment_uner_social_security_schemes,total_enrolment_uner_social_security_schemes_3764990,total_no_of_apy,total_no_of_apy_404742,total_no_of_pmjjby,total_no_of_pmjjby_829189,total_no_of_pmsby,total_no_of_pmsby_2531059,total_no_pmjdy_a_c,total_no_pmjdy_a_c_4421433
December 2023,Alipurduar,3.0,,586687.0,,56357.0,,154408.0,,375922.0,,585392.0
December 2023,Bankura,4.0,,1614793.0,,161420.0,,347897.0,,1105476.0,,2230718.0
December 2023,Birbhum,5.0,,2095228.0,,218381.0,,570914.0,,1305933.0,,2336625.0
December 2023,Cooch Behar,6.0,,1383296.0,,174405.0,,336395.0,,872496.0,,1628560.0
December 2023,Darjeeling,7.0,,1061654.0,,99787.0,,299647.0,,662220.0,,635851.0
December 2023,Hooghly,10.0,,2369346.0,,278912.0,,551766.0,,1538668.0,,2394725.0
December 2023,Howrah,11.0,,1882995.0,,216045.0,,437467.0,,1229483.0,,2062462.0
December 2023,Jalpaiguri,12.0,,1420271.0,,165782.0,,369947.0,,884542.0,,1531678.0
December 2023,Jhargram,13.0,,430125.0,,33023.0,,103407.0,,293695.0,,470966.0
December 2023,Kalimpong,14.0,,59854.0,,5798.0,,16998.0,,37058.0,,31462.0
December 2023,Kolkata,15.0,,2372343.0,,194205.0,,479859.0,,1698279.0,,944616.0
December 2023,Malda,16.0,,1967370.0,,251371.0,,473438.0,,1242561.0,,3314004.0
December 2023,Murshidabad,19.0,,3475962.0,,429755.0,,781898.0,,2264309.0,,4517590.0
December 2023,Nadia,20.0,,2259231.0,,253883.0,,485333.0,,1520015.0,,3076829.0
December 2023,Paschim Bardhaman,21.0,,1614582.0,,60782.0,,369995.0,,1183805.0,,1503777.0
December 2023,Purba Bardhaman,22.0,,1446756.0,,276466.0,,470596.0,,699694.0,,2223287.0
December 2023,Purulia,23.0,,1177297.0,,120525.0,,273932.0,,782840.0,,2029206.0
June 2023,Alipurduar,,520120.0,,50927.0,,136180.0,,333013.0,,572275.0,
June 2023,Bankura,,1384209.0,,139023.0,,290511.0,,954675.0,,2171059.0,
June 2023,Birbhum,,1825712.0,,197090.0,,504609.0,,1124013.0,,2274092.0,
June 2023,Cooch Behar,,1210867.0,,157609.0,,292747.0,,760511.0,,1575031.0,
June 2023,Dakshin Dinajpur,,736108.0,,76093.0,,177678.0,,482337.0,,1151934.0,
June 2023,Hooghly,,2040542.0,,249357.0,,488906.0,,1302279.0,,2321646.0,
June 2023,Howrah,,1619568.0,,194908.0,,393617.0,,1031043.0,,1994747.0,
June 2023,Jalpaiguri,,1252208.0,,149541.0,,331905.0,,770762.0,,1488514.0,
June 2023,Kolkata,,2141999.0,,179956.0,,450892.0,,1511151.0,,897483.0,
June 2023,Malda,,1752314.0,,229815.0,,418053.0,,1104446.0,,3190147.0,
June 2023,Murshidabad,,3143746.0,,388459.0,,705496.0,,2049791.0,,4320944.0,
June 2023,Nadia,,2026860.0,,230808.0,,414132.0,,1381920.0,,2983122.0,
June 2023,North 24 Parganas,,3408866.0,,367258.0,,739185.0,,2302423.0,,4279670.0,
June 2023,Paschim Medinipur,,2248968.0,,257137.0,,494500.0,,1497331.0,,3062529.0,
June 2023,Purba Bardhaman,,2663129.0,,301922.0,,731222.0,,1629985.0,,3612625.0,
June 2023,Purba Medinipur,,1944235.0,,298097.0,,399963.0,,1246175.0,,2523583.0,
June 2023,Purulia,,912702.0,,106002.0,,237956.0,,568744.0,,1965348.0,
June 2023,South 24 Parganas,,2426871.0,,295420.0,,585181.0,,1546270.0,,4839860.0,
June 2023,Uttar Dinajpur,,1081067.0,,132635.0,,263320.0,,685112.0,,2578005.0,
