period,district,sum_of_cummul_ative_any_other_reason,sum_of_cummul_ative_applicant_in_default_npa,sum_of_cummul_ative_applicati_on_for_purpose_of_cattle,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_purpose_of_cattle,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_no_of_applicati_ons_sanction_ed,sum_of_cummula_tive_no_of_applicatio_ns_accepted,sum_of_cummula_tive_not_a_member_of_pacs,sum_of_cummulat_ive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummulat_ive_already_having_kcc_with_some_other_bank,sum_of_cummulat_ive_milch_animal_in_possesion_no_space_available_for_cattle_shed,sum_of_cummulat_ive_no_of_applicatio_ns_received,sum_of_cummulati_ve_second_application_submitted_or_same_other_easons,sum_of_cummulati_ve_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulati_ve_wrong_incomplete_information_furnished_f_r,sum_of_cummulativ_e_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_cummulativ_e_milch_animal_in_possesion_no_space_available_for_cattle_shed,sum_of_cummulativ_e_second_application_submitted_for_same_other_reasons,sum_of_cummulative_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummulative_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulative_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulative_wrong_incomplete_information_furnished,sum_of_pendency_more_than_15_days
December 2023,Alipurduar,,,,,239.0,0.0,293.0,0.0,2327.0,2327.0,1504.0,,0.0,,,,,,,,0.0,268.0,0.0,23.0,0.0,0.0,0.0,0.0
December 2023,Bankura,,,,,1.0,0.0,5.0,0.0,171.0,171.0,165.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December 2023,Birbhum,,,,,238.0,70.0,1565.0,0.0,3948.0,3948.0,1507.0,,0.0,,,,,,,,0.0,475.0,0.0,62.0,29.0,0.0,2.0,0.0
December 2023,Dakshin Dinajpur,,,,,0.0,13.0,193.0,3.0,1229.0,1229.0,398.0,,0.0,,,,,,,,0.0,527.0,0.0,14.0,81.0,0.0,0.0,0.0
December 2023,Jalpaiguri,,,,,0.0,15.0,201.0,0.0,1136.0,1136.0,387.0,,485.0,,,,,,,,0.0,20.0,0.0,0.0,0.0,0.0,28.0,0.0
December 2023,Jhargram,,,,,37.0,299.0,169.0,14.0,1094.0,1094.0,400.0,,2.0,,,,,,,,1.0,130.0,0.0,4.0,35.0,3.0,0.0,0.0
December 2023,Kalimpong,,,,,97.0,0.0,239.0,0.0,996.0,996.0,569.0,,28.0,,,,,,,,0.0,9.0,0.0,48.0,6.0,0.0,0.0,0.0
December 2023,Kolkata,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December 2023,Malda,,,,,0.0,0.0,23.0,0.0,105.0,105.0,82.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December 2023,Murshidabad,,,,,46.0,3.0,157.0,0.0,994.0,994.0,253.0,,4.0,,,,,,,,2.0,24.0,0.0,1.0,1.0,0.0,503.0,0.0
December 2023,Nadia,,,,,560.0,37.0,1108.0,849.0,7470.0,7470.0,1864.0,,137.0,,,,,,,,236.0,1322.0,5.0,10.0,820.0,0.0,519.0,3.0
December 2023,Paschim Medinipur,,,,,136.0,85.0,264.0,0.0,1529.0,1529.0,573.0,,51.0,,,,,,,,0.0,365.0,0.0,0.0,0.0,46.0,8.0,1.0
December 2023,Purba Medinipur,,,,,241.0,5.0,467.0,386.0,2404.0,2404.0,865.0,,0.0,,,,,,,,0.0,248.0,0.0,115.0,77.0,0.0,0.0,0.0
December 2023,Uttar Dinajpur,,,,,35.0,0.0,66.0,0.0,357.0,357.0,195.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0
September 2024,Alipurduar,0.0,293.0,0.0,0.0,,,,,,,1504.0,2327.0,,23.0,239.0,268.0,2327.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0
September 2024,Bankura,0.0,5.0,0.0,0.0,,,,,,,165.0,171.0,,0.0,1.0,0.0,171.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0
September 2024,Birbhum,70.0,1589.0,0.0,0.0,,,,,,,1638.0,4167.0,,76.0,250.0,489.0,4167.0,0.0,0.0,2.0,0.0,,,,53.0,,,0.0
September 2024,Dakshin Dinajpur,13.0,193.0,3.0,0.0,,,,,,,398.0,1229.0,,14.0,0.0,527.0,,0.0,0.0,0.0,0.0,,,,81.0,,,0.0
September 2024,Jalpaiguri,15.0,201.0,0.0,485.0,,,,,,,387.0,1136.0,,0.0,0.0,20.0,1136.0,0.0,0.0,28.0,0.0,,,,0.0,,,0.0
September 2024,Jhargram,299.0,176.0,14.0,2.0,,,,,,,477.0,1181.0,,4.0,37.0,130.0,1181.0,0.0,3.0,0.0,1.0,,,,38.0,,,0.0
September 2024,Kalimpong,0.0,230.0,5.0,28.0,,,,,,,583.0,1013.0,,55.0,99.0,9.0,1013.0,0.0,0.0,0.0,0.0,,,,4.0,,,0.0
September 2024,Kolkata,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0
September 2024,Malda,0.0,23.0,0.0,0.0,,,,,,,82.0,105.0,,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0
September 2024,Murshidabad,3.0,157.0,0.0,4.0,,,,,,,253.0,994.0,,1.0,46.0,24.0,994.0,0.0,0.0,503.0,2.0,,,,1.0,,,0.0
September 2024,Nadia,37.0,1111.0,849.0,137.0,,,,,,,1864.0,7470.0,,10.0,560.0,1322.0,7470.0,5.0,0.0,519.0,236.0,,,,820.0,,,0.0
September 2024,Paschim Medinipur,85.0,351.0,0.0,51.0,,,,,,,1082.0,2134.0,,0.0,136.0,375.0,,0.0,46.0,8.0,0.0,,,,0.0,,,0.0
September 2024,Purba Medinipur,5.0,467.0,386.0,0.0,,,,,,,865.0,2404.0,,115.0,241.0,248.0,,0.0,0.0,0.0,0.0,,,,77.0,,,0.0
September 2024,Uttar Dinajpur,0.0,66.0,0.0,0.0,,,,,,,195.0,357.0,,0.0,35.0,0.0,357.0,0.0,0.0,0.0,0.0,,,,61.0,,,0.0
