District,No. Of Branch,Total Deposit,Total Advance,Cdr
Anjaw,2,7456.89,1779.25,23.8604833918698
Changlang,10,64123.08,12318.57,19.21082081521973
Dibang Valley,2,8721.39,1679.89,19.261723188620163
East Kameng,3,23255.4,12583.99,54.11212019573948
East Siang,19,110892.59999999999,31409.61,28.324351669994215
Kamle,1,2401.12,738.01,30.736073165855938
Kra Daadi,1,7043.71,1742.18,24.733840547098048
Kurung Kumey,4,10674.22,3064.94,28.713479767139898
Lepa Rada,4,20082.04,5901.74,29.388149809481508
Lohit,7,41830.29,10770.57,25.748255630070936
Longding,3,13670.98,4520.59,33.067051520812704
Lower Dibang Valley,7,43785.689999999995,8141.69,18.5944083557893
Lower Siang,4,18530.75,5038.26,27.188645899383456
Lower Subansiri,12,63003.67,22767.87,36.13737104521054
Namsai,8,50617.86,13015.51,25.713275906962487
Pakke Kessang,1,2170.27,1609.53,74.16266178862537
Papum Pare,65,909001.27,346342.77,38.10146161841996
Shi Yomi,1,984.27,284.93,28.94835766608756
Siang,4,10962.64,1257.73,11.472875146862435
Tawang,10,136630.44,11439.9,8.372877961894874
Tirap,5,37027.78,11181.96,30.198839898044117
Upper Siang,7,29524.83,4848.07,16.420314697832296
Upper Subansiri,6,43844.77,17367.35,39.61099579265668
West Kameng,16,91492.75,18033.33,19.71011910779816
West Siang,9,68604.42,20941.7,30.525292685223494
