district,NULM AMT NPA,NO NULM NPA,O/S NULM Amt.,No. NULM O/S,NRLM NPA AMT,NRLM NPA NO,NRLM A/C Amt Irregular,lar NRLM A/C No Irregu-,NRLM O/S Amt.,NRLM O/S No.
East Garo Hills,0,0,0,0,347.53,416,59.11,86,1427.34,1224
East Jaintia Hills,0,0,0,0,1.82,1,1.82,1,2852.4,1583
East Khasi Hills,6.53,16,27.77,29,137.17,132,55.87,49,5758.03,3686
Eastern West Khasi Hills,0,0,0,0,34.01,37,21.11,9,2545.53,1204
North Garo Hills,1.97,1,1.97,1,237.41,325,94.9,101,1629.83,1446
Ri Bhoi,4.01,3,4.01,3,168.55,102,136.47,97,3004.24,1928
South Garo Hills,1.28,1,1.49,3,289.58,384,154.65,191,911.74,926
South West Garo Hills,0,0,0,0,74.99,78,41.65,42,984.44,783
South West Khasi Hills,0,0,0,0,82.47,63,85.25,71,1251.19,810
West Garo Hills,13.36,17,20,34,461.43,449,202.85,208,4242.04,3129
West Jaintia Hills,5.38,4,15.38,11,137.79,73,29.03,20,3631.52,2020
West Khasi Hills,0,0,0.16,1,7.54,7,13.79,11,2521.03,1151
