district,Agri Total Amount O/S,O/S Agri No. Total,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Farm Loan Credit Amt Term,Term Farm Loan Credit No,Farm Amt Credit Crop,Farm Crop No Credit
East Garo Hills,7062.74,7304,375.06,501,3098.89,1804,1034.36,1352,2554.43,3647
East Jaintia Hills,6707.31,3708,85.37,14,3128.26,343,1905.12,1057,1588.56,2294
East Khasi Hills,143808.3,30309,2476.96,664,118802.21,895,3517.56,2808,19011.57,25942
Eastern West Khasi Hills,7723.39,9416,108.84,43,1012.01,197,1533.17,776,5069.37,8400
North Garo Hills,5801.68,8163,332.74,245,1417.23,1872,477.85,269,3573.86,5777
Ri Bhoi,34491.93,41062,1749.74,428,5154.4,1825,3604.45,4936,23983.34,33873
South Garo Hills,3572.38,4323,355.39,276,1448.1,1318,375,245,1393.89,2484
South West Garo Hills,5980.47,8667,110.91,48,2112.27,2637,769.43,1023,2987.86,4959
South West Khasi Hills,3649.47,3915,179.76,136,912.62,267,345.85,207,2211.24,3305
West Garo Hills,17226.61,21522,471.62,404,6073.71,3264,4461.9,8634,6219.38,9220
West Jaintia Hills,19687.68,8111,115.3,122,13163.58,527,1731.88,1623,4676.92,5839
West Khasi Hills,8651.58,9793,49.56,118,1932.27,561,1242.44,685,5427.31,8429
