district,ST O/S Amt,ST O/S No,ST Disb Amt,ST Disb No,SC O/S Amt,SC O/S No,SC Disb Amt,SC Disb No
East Garo Hills,4268.36,3782,380.11,149,187.35,41,83.01,12
East Jaintia Hills,13426.11,5842,1627.79,552,93.85,32,26.13,10
East Khasi Hills,210968.37,70659,25664.8,7984,6884.78,1836,1970.17,386
Eastern West Khasi Hills,13355.84,10703,1185.35,762,83.3,3,65,1
North Garo Hills,5941.78,5286,649.81,300,249.45,60,56.3,14
Ri Bhoi,39391.35,24976,5122.95,2002,4985.58,1083,1210.85,211
South Garo Hills,3305.82,3464,284.75,219,44.03,22,1.97,4
South West Garo Hills,8100.49,6220,875.66,426,309.01,90,92.47,22
South West Khasi Hills,5730.83,4461,578.23,504,38.65,6,0.02,1
West Garo Hills,26563.27,15761,2667.37,1033,1479.69,395,469.36,99
West Jaintia Hills,40102.13,11808,4192.78,1129,2980.71,785,533.12,94
West Khasi Hills,14242.57,9856,1422.45,801,21.23,9,1.49,2
