district,NPS Amt.% NPA,NPA Prio Tot Amt. Sec Non,Tot NPA Prio No. Sec Non,Tot Amt. NPS O/S,O/S Tot No. NPS,Other Amt. NPS,NPS Other No.,Loan Personal Amt.,Loan No. Personal,NPS Amt. Housing,NPS No. Housing,NPS Amt. Education,tion No. Educa- NPS,Agri Amt. NPS,No. NPS Agri
East Garo Hills,1.49,375.19,245,25201.29,7284,20420.01,5795,3527.52,1251,1224.32,95,0,0,29.44,143
East Jaintia Hills,1.5,293.23,199,19608.08,6263,13769.56,4865,4096.68,1350,1739.42,47,2.42,1,0,0
East Khasi Hills,0.56,4125.94,2368,740303.88,118432,539043.1,91293,92871.93,22565,96073.63,3964,12286.45,592,28.77,18
North Garo Hills,1.26,294.66,180,23419.02,5657,21167.09,4953,1520.41,621,731.52,83,0,0,0,0
Ri Bhoi,1.59,2374.31,1223,148925.68,31057,116779.7,26473,8380.68,3003,23431.91,1565,333.05,14,0.34,2
South Garo Hills,1.76,215.19,144,12194.08,2617,10210.81,2088,1142.74,464,840.53,65,0,0,0,0
West Garo Hills,2.05,2312.82,1705,112843.27,29484,84440.27,23245,13814.95,4993,14084.8,983,450.99,19,52.26,244
West Jaintia Hills,0.79,369.82,300,46894.24,11833,31456.95,8413,10896.77,3124,4422.23,188,110.74,5,7.55,103
West Khasi Hills,0.52,82.69,60,15813.08,4249,10918.42,2889,4205.35,1309,685.82,50,3.49,1,0,0
