district,Target MSME (PS) Amount,(PS) No. MSME Target,Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Achieved Loan No.,Crop Target Amount Loan,Crop Target No. Loan,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri Achieved (PS) No.,Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,3432,1445,11.93,889.39,1214,7456.2,14102,21.29,1920.24,1885,9021.2,16284
East Khasi Hills,110355,23287,57.73,5194.75,5607,8999,16649,43.16,7920.92,6434,18352,21181
Ri Bhoi,74700,5051,49.84,5705.73,8645,11448,11448,39.11,7453.22,9206,19056.96,17598
West Garo Hills,24474,27779,16.51,1704.26,2133,10321,11350,15.21,3510.52,3932,23085,26357
West Khasi Hills,2090,628,32.53,1177.95,1367,3621,3640,30.83,1607.6,1592,5215,6064
