district,31_03_2021_brick_morter_branch,31_03_2022_brick_morter_branch,31_03_2023_brick_morter_branch,atm,bc_outlets
Alipurduar,133.0,140.0,138.0,63.0,3183.0
Bankura,291.0,292.0,287.0,260.0,11596.0
Birbhum,335.0,338.0,336.0,283.0,10003.0
Cooch Behar,278.0,298.0,292.0,191.0,15982.0
Dakshin Dinajpur,141.0,147.0,147.0,143.0,6731.0
Darjeeling,291.0,304.0,285.0,489.0,5728.0
Hooghly,581.0,593.0,580.0,690.0,9935.0
Howrah,504.0,543.0,528.0,639.0,8547.0
Jalpaiguri,241.0,256.0,254.0,380.0,14585.0
Jhargram,95.0,95.0,93.0,44.0,1002.0
Kalimpong,36.0,37.0,35.0,38.0,200.0
Kolkata,1431.0,1463.0,1578.0,2562.0,6990.0
Malda,279.0,292.0,285.0,272.0,19720.0
Murshidabad,503.0,538.0,521.0,628.0,30076.0
Nadia,469.0,503.0,490.0,582.0,17648.0
North 24 Parganas,1044.0,1073.0,1148.0,1645.0,21681.0
Paschim Bardhaman,382.0,387.0,365.0,576.0,4736.0
Paschim Medinipur,443.0,445.0,401.0,458.0,14817.0
Purba Bardhaman,445.0,463.0,492.0,507.0,13185.0
Purba Medinipur,418.0,421.0,410.0,444.0,13844.0
Purulia,192.0,193.0,185.0,184.0,9301.0
South 24 Parganas,664.0,682.0,699.0,715.0,23714.0
Uttar Dinajpur,217.0,234.0,224.0,203.0,16875.0
