district,31_03_2022,31_03_2023,district_wise_enrolment_under_pmjdy_31_03_2021
Alipurduar,100726.0,109143.0,74293.0
Bankura,903226.0,958384.0,878904.0
Birbhum,894147.0,960192.0,827652.0
Cooch Behar,631521.0,684131.0,598861.0
Dakshin Dinajpur,458479.0,492788.0,427871.0
Hooghly,877321.0,936613.0,813753.0
Howrah,752814.0,808068.0,680729.0
Jalpaiguri,703657.0,755853.0,685172.0
Kolkata,346596.0,375920.0,358782.0
Malda,1219659.0,1337627.0,1114782.0
Murshidabad,1686948.0,1843199.0,1600086.0
Nadia,1174405.0,1254905.0,1108632.0
North 24 Parganas,1627469.0,1758496.0,1553842.0
Paschim Medinipur,1166225.0,1244516.0,1246786.0
Purba Bardhaman,1249734.0,1348728.0,1134150.0
Purba Medinipur,1068418.0,1131712.0,1111384.0
Purulia,810650.0,878454.0,817614.0
South 24 Parganas,1918134.0,2062499.0,1811333.0
Uttar Dinajpur,1040836.0,1117931.0,964714.0
