district,1_year_and_above_no,6_months_to_1_year_no,above_60_day_below_6_months_no,amt,pending_below_60_days_no,total_pending_no
Alipurduar,0.0,4.0,0.0,40.25,0.0,4.0
Bankura,21.0,6.0,2.0,11.92,0.0,29.0
Birbhum,62.0,21.0,11.0,28.85,2.0,96.0
Cooch Behar,16.0,9.0,3.0,3.8,4.0,32.0
Dakshin Dinajpur,23.0,15.0,21.0,6.02,1.0,60.0
Darjeeling,20.0,14.0,2.0,17.57,11.0,47.0
Hooghly,130.0,77.0,26.0,95.19,17.0,250.0
Howrah,118.0,90.0,34.0,178.77,23.0,265.0
Jalpaiguri,16.0,17.0,2.0,16.87,5.0,40.0
Jhargram,9.0,0.0,1.0,1.26,0.0,10.0
Kalimpong,1.0,0.0,0.0,0.02,0.0,1.0
Kolkata,223.0,119.0,24.0,233.61,25.0,391.0
Malda,40.0,6.0,0.0,48.01,0.0,46.0
Murshidabad,80.0,22.0,3.0,30.42,0.0,105.0
Nadia,55.0,51.0,5.0,58.05,15.0,126.0
North 24 Parganas,66.0,96.0,87.0,138.05,44.0,293.0
Paschim Bardhaman,52.0,29.0,10.0,70.28,19.0,110.0
Paschim Medinipur,73.0,27.0,16.0,58.72,3.0,119.0
Purba Bardhaman,169.0,29.0,17.0,59.64,17.0,232.0
Purba Medinipur,50.0,32.0,2.0,25.84,2.0,86.0
Purulia,9.0,3.0,0.0,6.82,0.0,12.0
South 24 Parganas,167.0,56.0,70.0,100.56,21.0,314.0
Uttar Dinajpur,39.0,11.0,4.0,12.05,0.0,54.0
