district,amount,kcc_disbursement_during_01_04_2023_to_31_12_2023_fresh_renewal_no,kcc_outstanding_as_on_31_12_2023_no,of_achievement_no,target_no
Alipurduar,221.51,25455.0,43536.0,66.12,38500.0
Bankura,669.63,110856.0,174272.0,55.99,198000.0
Birbhum,851.89,61692.0,249763.0,25.71,240000.0
Cooch Behar,1170.77,49020.0,176212.0,25.8,190000.0
Dakshin Dinajpur,432.76,38605.0,110416.0,33.57,115000.0
Darjeeling,125.53,10228.0,26399.0,55.29,18500.0
Hooghly,1626.88,171920.0,332767.0,43.52,395000.0
Howrah,599.57,51079.0,82715.0,53.77,95000.0
Jalpaiguri,467.26,26787.0,58205.0,66.97,40000.0
Jhargram,104.26,39736.0,61518.0,72.25,55000.0
Kalimpong,76.11,1389.0,11168.0,13.89,10000.0
Kolkata,32.15,364.0,967.0,,0.0
Malda,705.05,115094.0,157491.0,104.63,110000.0
Murshidabad,1004.78,55005.0,163084.0,57.9,95000.0
Nadia,2302.0,55802.0,242111.0,50.73,110000.0
North 24 Parganas,1304.87,121521.0,485667.0,52.84,230000.0
Paschim Bardhaman,180.93,6485.0,18340.0,25.94,25000.0
Paschim Medinipur,2041.21,206756.0,387608.0,84.39,245000.0
Purba Bardhaman,2299.4,127135.0,398483.0,45.41,280000.0
Purba Medinipur,1444.14,399444.0,428977.0,53.26,750000.0
Purulia,327.41,30071.0,121434.0,85.92,35000.0
South 24 Parganas,1138.01,125165.0,320054.0,73.63,170000.0
Uttar Dinajpur,647.08,26384.0,241991.0,47.97,55000.0
