district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,129.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,475.0,1.0,6680.0,6.0,504.0,15.0
Birbhum,212.0,789.0,1.0,1631.0,6.0,636.0,15.0
Cooch Behar,136.0,150.0,2.0,726.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,22.0,2.0,850.0,12.0,237.0,30.0
Darjeeling,72.0,187.0,2.0,1132.0,12.0,216.0,30.0
Hooghly,237.0,323.0,1.0,0.0,6.0,711.0,15.0
Howrah,115.0,45.0,2.0,55.0,12.0,345.0,30.0
Jalpaiguri,79.0,300.0,1.0,365.0,6.0,237.0,15.0
Jhargram,83.0,107.0,1.0,189.0,6.0,249.0,15.0
Kalimpong,12.0,60.0,1.0,1002.0,6.0,36.0,15.0
Kolkata,7.0,24.0,1.0,230.0,6.0,21.0,15.0
Malda,189.0,252.0,2.0,525.0,12.0,567.0,30.0
Murshidabad,339.0,872.0,2.0,421.0,12.0,1017.0,30.0
Nadia,176.0,244.0,1.0,0.0,6.0,528.0,15.0
North 24 Parganas,310.0,776.0,1.0,1554.0,6.0,930.0,15.0
Paschim Bardhaman,102.0,119.0,1.0,287.0,6.0,306.0,15.0
Paschim Medinipur,248.0,308.0,1.0,312.0,6.0,744.0,15.0
Purba Bardhaman,314.0,893.0,1.0,267.0,6.0,942.0,15.0
Purba Medinipur,285.0,348.0,2.0,301.0,12.0,855.0,30.0
Purulia,152.0,353.0,1.0,473.0,6.0,456.0,15.0
South 24 Parganas,304.0,627.0,1.0,547.0,6.0,912.0,15.0
Uttar Dinajpur,81.0,156.0,1.0,4800.0,6.0,243.0,15.0
