district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,222.21,6915.0,222.9,27295.0,829.0,35039.0
Bankura,428.56,8354.0,434.33,43692.0,2047.0,54093.0
Birbhum,925.1,27391.0,930.0,72241.0,2549.0,102181.0
Cooch Behar,369.83,6428.0,380.1,31520.0,2323.0,40271.0
Dakshin Dinajpur,304.88,9936.0,306.97,40005.0,775.0,50716.0
Howrah,1037.64,32824.0,1047.37,103644.0,2657.0,139125.0
Jalpaiguri,581.04,16130.0,595.24,58476.0,2648.0,77254.0
Jhargram,204.58,6199.0,205.46,22530.0,842.0,29571.0
Kalimpong,12.02,305.0,12.37,550.0,82.0,937.0
Kolkata,1738.76,51823.0,1765.24,109097.0,8847.0,169767.0
Malda,795.55,28487.0,800.81,93995.0,2352.0,124834.0
Murshidabad,1967.92,86364.0,1977.57,244053.0,4897.0,335314.0
Nadia,1135.42,32872.0,1146.15,151664.0,3516.0,188052.0
North 24 Parganas,1983.99,57113.0,2010.7,236751.0,7118.0,300982.0
Paschim Medinipur,1248.1,29944.0,1259.73,121794.0,6386.0,158124.0
Purba Bardhaman,764.28,18585.0,769.96,94034.0,2697.0,115316.0
Purba Medinipur,1384.57,42889.0,1395.09,137392.0,5758.0,186039.0
South 24 Parganas,1142.89,28490.0,1154.95,135055.0,4039.0,167584.0
Uttar Dinajpur,409.21,11629.0,412.82,43142.0,1636.0,56407.0
