district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,586687.0,56357.0,154408.0,375922.0,585392.0
Bankura,1614793.0,161420.0,347897.0,1105476.0,2230718.0
Birbhum,2095228.0,218381.0,570914.0,1305933.0,2336625.0
Cooch Behar,1383296.0,174405.0,336395.0,872496.0,1628560.0
Dakshin Dinajpur,839655.0,86491.0,204742.0,548422.0,1190329.0
Darjeeling,1061654.0,99787.0,299647.0,662220.0,635851.0
Hooghly,2369346.0,278912.0,551766.0,1538668.0,2394725.0
Howrah,1882995.0,216045.0,437467.0,1229483.0,2062462.0
Jalpaiguri,1420271.0,165782.0,369947.0,884542.0,1531678.0
Jhargram,430125.0,33023.0,103407.0,293695.0,470966.0
Kalimpong,59854.0,5798.0,16998.0,37058.0,31462.0
Kolkata,2372343.0,194205.0,479859.0,1698279.0,944616.0
Malda,1967370.0,251371.0,473438.0,1242561.0,3314004.0
Murshidabad,3475962.0,429755.0,781898.0,2264309.0,4517590.0
Nadia,2259231.0,253883.0,485333.0,1520015.0,3076829.0
North 24 Parganas,3764990.0,404742.0,829189.0,2531059.0,4421433.0
Paschim Bardhaman,1614582.0,60782.0,369995.0,1183805.0,1503777.0
Paschim Medinipur,2059333.0,250096.0,463837.0,1345400.0,2666594.0
Purba Bardhaman,1446756.0,276466.0,470596.0,699694.0,2223287.0
Purba Medinipur,2161474.0,326073.0,464927.0,1370474.0,2591957.0
Purulia,1177297.0,120525.0,273932.0,782840.0,2029206.0
South 24 Parganas,2927670.0,333996.0,649652.0,1944022.0,5002053.0
Uttar Dinajpur,1232437.0,145660.0,297665.0,789112.0,2661751.0
