district,advance,cd_ratio,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2023_deposit
Alipurduar,5012.19,66.59,62.15,7527.12
Bankura,10648.5,54.59,51.82,19506.0
Birbhum,10441.58,50.54,48.31,20659.07
Cooch Behar,31993.25,79.84,75.6,40070.86
Dakshin Dinajpur,3749.5,61.85,62.67,6062.69
Darjeeling,16335.34,66.35,62.08,24620.22
Hooghly,24964.69,45.31,41.31,55097.25
Howrah,26318.86,48.38,47.79,54395.55
Jalpaiguri,11402.43,80.1,60.27,14235.52
Jhargram,2200.56,46.93,41.22,4689.21
Kalimpong,1055.31,50.74,46.97,2079.8
Kolkata,360220.63,96.29,64.15,374118.37
Malda,8565.35,57.81,59.45,14816.9
Murshidabad,16726.17,56.59,49.02,29558.69
Nadia,15160.0,50.28,49.8,30150.0
North 24 Parganas,78944.84,42.89,41.53,184081.0
Paschim Bardhaman,24756.41,51.04,41.1,48503.98
Paschim Medinipur,16110.87,50.18,47.47,32106.29
Purba Bardhaman,17900.98,53.09,51.48,33715.69
Purba Medinipur,17271.47,49.07,47.37,35199.99
Purulia,6361.45,49.28,48.72,12907.9
South 24 Parganas,17363.65,46.57,46.04,37283.1
Uttar Dinajpur,6246.29,65.23,60.99,9575.78
