district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,367.0,287.0,0.0,418.0,320.0,0.0,418.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,1568.0,0.0,0.0,1568.0,0.0,0.0,1697.0
Cooch Behar,7.28,2185.0,24.0,80.0,2362.0,24.0,109.0,2401.0
Dakshin Dinajpur,0.09,19.0,5.0,7.0,28.0,7.0,9.0,51.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,132.0,0.0,94.0,132.0,0.0,94.0
Howrah,0.1,152.0,11.0,5.0,152.0,11.0,5.0,152.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.0,76.0,0.0,0.0,76.0,0.0,0.0,123.0
Malda,0.02,53.0,85.0,7.0,62.0,170.0,7.0,145.0
Murshidabad,0.0,98.0,434.0,0.0,111.0,523.0,0.0,88.0
Nadia,15.05,1020.0,920.0,68.0,1045.0,1000.0,75.0,1788.0
North 24 Parganas,9.69,135.0,0.0,51.0,151.0,0.0,51.0,218.0
Paschim Bardhaman,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0
Paschim Medinipur,129.63,270.0,44.0,3804.0,284.0,44.0,3829.0,5389.0
Purba Bardhaman,7.77,3.0,143.0,227.0,3.0,143.0,229.0,
Purba Medinipur,0.0,92.0,977.0,0.0,92.0,977.0,0.0,110.0
Purulia,4.19,219.0,5.0,198.0,248.0,5.0,207.0,289.0
South 24 Parganas,1.0,12.0,0.0,10.0,13.0,0.0,12.0,39.0
Uttar Dinajpur,0.0,2249.0,58.0,0.0,2249.0,58.0,0.0,2307.0
