district,2021_22,2022_23,disbursement_during_fy_2020_21
Alipurduar,14566.0,18325.0,15591.0
Bankura,32729.0,38089.0,42737.0
Birbhum,48236.0,52963.0,54531.0
Cooch Behar,38990.0,47364.0,38471.0
Dakshin Dinajpur,15772.0,20403.0,20153.0
Darjeeling,66274.0,6020.0,11953.0
Hooghly,32416.0,38016.0,42873.0
Howrah,27599.0,29231.0,34935.0
Jalpaiguri,23649.0,40984.0,28469.0
Jhargram,10634.0,13204.0,15538.0
Kalimpong,2309.0,2753.0,2101.0
Kolkata,648.0,1005.0,0.0
Malda,35403.0,46429.0,49660.0
Murshidabad,48466.0,67304.0,68402.0
Nadia,28020.0,41273.0,40868.0
North 24 Parganas,42590.0,53514.0,61009.0
Paschim Medinipur,38767.0,48395.0,60176.0
Purba Medinipur,50598.0,61830.0,79753.0
Purulia,17682.0,25458.0,29318.0
South 24 Parganas,23612.0,65841.0,62017.0
Uttar Dinajpur,108.0,29932.0,29882.0
