district,mar_22,mar_23,number_of_atm_per_one_lakh_population_mar_21,number_of_bcs_per_one_lakh_population_mar_21,number_of_branches_per_one_lakh_population_mar_21
Alipurduar,170.57,211.92,8.26,89.08,8.85
Bankura,318.66,322.44,6.59,186.89,8.09
Birbhum,294.83,285.6,8.28,125.4,9.56
Cooch Behar,613.25,566.92,7.77,325.25,9.86
Dakshin Dinajpur,425.27,402.83,7.06,256.62,8.44
Darjeeling,290.82,310.15,25.83,116.2,15.76
Hooghly,191.13,180.01,10.47,96.3,10.53
Howrah,185.55,176.23,13.46,78.27,10.39
Jalpaiguri,596.41,612.4,14.19,329.15,10.12
Jhargram,98.63,88.16,6.69,23.32,8.36
Kalimpong,79.48,79.48,45.7,16.69,14.31
Kolkata,134.67,155.79,47.67,86.41,31.89
Malda,521.09,493.25,5.7,259.46,6.98
Murshidabad,418.62,423.46,7.88,187.32,7.08
Nadia,324.02,341.45,13.06,153.53,9.07
North 24 Parganas,238.0,215.03,14.93,102.22,10.35
Paschim Bardhaman,166.45,164.33,16.27,92.26,13.25
Paschim Medinipur,297.87,290.86,7.15,126.79,8.7
Purba Bardhaman,256.21,272.67,6.08,38.26,9.2
Purba Medinipur,335.29,313.4,9.03,135.78,9.46
Purulia,343.34,317.66,7.51,141.7,6.56
South 24 Parganas,314.48,290.86,12.56,140.91,8.14
Uttar Dinajpur,604.9,562.34,6.66,270.19,7.23
