district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,target_2023_24_no
Alipurduar,63.63,2.21,16448.0,144.8,22620.0,11364.0,11359.0
Bankura,51.5,2.0,35694.0,104.14,56800.0,30379.0,34275.0
Birbhum,58.84,2.93,39434.0,80.81,66582.0,33332.0,48800.0
Cooch Behar,72.97,2.28,43389.0,164.82,54085.0,25301.0,26325.0
Dakshin Dinajpur,51.84,1.64,19415.0,119.66,25574.0,11934.0,16225.0
Darjeeling,70.5,3.08,6040.0,100.02,7145.0,4611.0,6039.0
Hooghly,70.27,2.37,36857.0,118.28,48832.0,28496.0,31160.0
Howrah,58.61,2.67,25218.0,84.38,36896.0,21998.0,29888.0
Jalpaiguri,63.2,2.31,26394.0,128.39,36580.0,19705.0,20557.0
Jhargram,50.11,2.25,12020.0,89.04,18526.0,11882.0,13500.0
Kalimpong,83.97,3.5,2718.0,94.87,3295.0,2097.0,2865.0
Kolkata,100.0,1.44,758.0,100.0,3209.0,0.0,0.0
Malda,54.29,1.69,40231.0,125.73,58457.0,26659.0,31998.0
Murshidabad,52.75,1.77,53540.0,150.85,82160.0,34778.0,35493.0
Nadia,63.33,1.79,40379.0,125.07,59334.0,22109.0,32284.0
North 24 Parganas,50.24,1.79,50434.0,105.89,71419.0,31083.0,47629.0
Paschim Bardhaman,46.89,2.72,6016.0,52.95,10983.0,5051.0,11361.0
Paschim Medinipur,62.32,2.91,40209.0,81.55,63319.0,36209.0,49304.0
Purba Bardhaman,58.79,3.05,36330.0,78.13,60193.0,30734.0,46500.0
Purba Medinipur,63.01,3.75,50991.0,95.69,77725.0,41924.0,53285.0
Purulia,42.46,1.55,20495.0,88.34,39645.0,15818.0,23200.0
South 24 Parganas,67.7,2.15,61926.0,129.17,81672.0,25751.0,47942.0
Uttar Dinajpur,75.5,1.81,28113.0,155.35,38265.0,16016.0,18096.0
