district,31_03_2022,31_03_2023,average_ticket_size_31_03_2021,outstanding_as_on_31_03_2021
Alipurduar,1.76,2.23,1.51,18406.0
Bankura,1.86,1.7,1.56,39896.0
Birbhum,1.66,1.9,1.58,55924.0
Cooch Behar,2.0,2.52,1.7,44489.0
Dakshin Dinajpur,1.39,1.64,1.28,20614.0
Darjeeling,4.14,2.57,1.84,13160.0
Hooghly,1.58,1.98,1.46,36841.0
Howrah,1.87,2.07,1.73,31980.0
Jalpaiguri,1.85,2.35,1.56,31020.0
Jhargram,1.57,1.75,1.3,13050.0
Kalimpong,2.05,2.9,1.7,2435.0
Kolkata,0.51,1.31,0.0,0.0
Malda,1.52,1.72,1.41,48014.0
Murshidabad,1.24,1.53,1.06,71424.0
Nadia,1.41,1.57,1.19,41543.0
North 24 Parganas,1.41,1.71,1.19,55053.0
Paschim Medinipur,1.7,2.06,1.44,53169.0
Purba Medinipur,2.18,2.82,1.74,67263.0
Purulia,1.7,1.28,1.4,20326.0
South 24 Parganas,1.89,1.73,1.27,59701.0
Uttar Dinajpur,1.76,1.72,1.4,31960.0
