district,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,118.0,48.0,189.0,5282.0,1.0
Birbhum,208.0,304.0,310.0,9919.0,1.0
Cooch Behar,62.0,122.0,135.0,4190.0,2.0
Darjeeling,89.0,87.0,69.0,4175.0,2.0
Hooghly,207.0,127.0,169.0,5765.0,1.0
Howrah,369.0,185.0,259.0,13335.0,2.0
Jalpaiguri,2.0,8.0,39.0,867.0,1.0
Jhargram,0.0,40.0,56.0,3294.0,1.0
Kalimpong,0.0,0.0,5.0,110.0,1.0
Kolkata,0.0,9.0,40.0,988.0,1.0
Malda,172.0,32.0,38.0,2620.0,2.0
Murshidabad,119.0,18.0,62.0,2516.0,2.0
Nadia,119.0,94.0,101.0,9800.0,1.0
North 24 Parganas,63.0,55.0,104.0,6024.0,1.0
Paschim Bardhaman,0.0,27.0,41.0,1317.0,1.0
Paschim Medinipur,170.0,18.0,50.0,2616.0,1.0
Purba Bardhaman,164.0,29.0,43.0,2155.0,1.0
Purba Medinipur,332.0,371.0,36.0,1019.0,2.0
Purulia,77.0,53.0,74.0,2436.0,1.0
South 24 Parganas,93.0,50.0,62.0,2181.0,1.0
Uttar Dinajpur,98.0,149.0,104.0,3993.0,1.0
