district,amount,no_of_cases_pending,no_of_sponsored_application_in_fy_23_24,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_fy_23_24,target_fy_fy_23_24
Alipurduar,1.27,6.0,6.0,2.0,4.0,1.0,1.0,24.0,70.0,8.0,35.0
Bankura,60.96,40.0,68.0,3.0,5.0,48.0,48.0,18.0,118.0,6.0,59.0
Birbhum,137.16,37.0,281.0,28.0,28.0,108.0,111.0,48.0,374.0,16.0,187.0
Cooch Behar,39.37,18.0,114.0,6.0,6.0,31.0,31.0,42.0,252.0,14.0,126.0
Dakshin Dinajpur,39.37,9.0,81.0,2.0,2.0,31.0,31.0,21.0,122.0,7.0,61.0
Darjeeling,34.29,3.0,32.0,4.0,4.0,27.0,26.0,27.0,236.0,9.0,118.0
Hooghly,156.21,6.0,186.0,7.0,8.0,123.0,124.0,78.0,582.0,26.0,291.0
Howrah,19.05,2.0,19.0,0.0,0.0,15.0,15.0,18.0,208.0,6.0,104.0
Jalpaiguri,22.86,3.0,41.0,1.0,1.0,18.0,19.0,24.0,176.0,8.0,88.0
Jhargram,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,40.0,1.0,20.0
Kalimpong,2.54,0.0,5.0,0.0,0.0,2.0,2.0,15.0,34.0,5.0,17.0
Kolkata,63.5,6.0,90.0,0.0,0.0,50.0,61.0,15.0,240.0,5.0,120.0
Malda,5.08,4.0,11.0,3.0,3.0,4.0,7.0,15.0,90.0,5.0,45.0
Murshidabad,95.25,7.0,96.0,4.0,7.0,75.0,78.0,72.0,388.0,24.0,194.0
Nadia,120.65,8.0,132.0,4.0,6.0,95.0,96.0,72.0,504.0,24.0,252.0
North 24 Parganas,317.5,59.0,444.0,8.0,11.0,250.0,257.0,171.0,1292.0,57.0,646.0
Paschim Bardhaman,11.43,45.0,113.0,1.0,3.0,9.0,9.0,27.0,200.0,9.0,100.0
Paschim Medinipur,116.84,13.0,166.0,6.0,8.0,92.0,92.0,57.0,366.0,19.0,183.0
Purba Bardhaman,83.82,10.0,111.0,6.0,7.0,66.0,65.0,36.0,334.0,12.0,167.0
Purba Medinipur,139.7,7.0,127.0,11.0,12.0,110.0,112.0,57.0,232.0,19.0,116.0
Purulia,36.83,4.0,43.0,2.0,2.0,29.0,29.0,12.0,114.0,4.0,57.0
South 24 Parganas,87.63,8.0,102.0,3.0,4.0,69.0,69.0,39.0,320.0,13.0,160.0
Uttar Dinajpur,52.07,7.0,59.0,15.0,17.0,41.0,41.0,66.0,190.0,22.0,95.0
