district,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2023
Alipurduar,62.15,66.59
Bankura,51.82,54.59
Birbhum,48.31,50.54
Cooch Behar,75.6,79.84
Dakshin Dinajpur,62.67,61.85
Darjeeling,62.08,66.35
Hooghly,41.31,45.31
Howrah,47.79,48.38
Jalpaiguri,60.27,80.1
Jhargram,41.22,46.93
Kalimpong,46.97,50.74
Kolkata,64.15,96.29
Malda,59.45,57.81
Murshidabad,49.02,56.59
Nadia,49.8,50.28
North 24 Parganas,41.53,42.89
Paschim Bardhaman,41.1,51.04
Paschim Medinipur,47.47,50.18
Purba Bardhaman,51.48,53.09
Purba Medinipur,47.37,49.07
Purulia,48.72,49.28
South 24 Parganas,46.04,46.57
Uttar Dinajpur,60.99,65.23
