district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,2284.9,1660.87,606.2,82.89,489.61,2756.68
Bankura,6936.62,5143.54,5237.72,60.07,1166.53,11547.79
Birbhum,3171.98,5461.11,4338.51,28.4,1370.78,11170.4
Cooch Behar,3673.39,5135.99,2543.12,41.37,1199.43,8878.53
Dakshin Dinajpur,4081.0,5050.39,5247.47,36.18,980.66,11278.53
Darjeeling,4919.31,1124.66,2651.72,103.64,970.37,4746.75
Hooghly,9248.5,5615.1,5559.22,72.1,1653.14,12827.45
Howrah,11242.69,2505.51,12081.9,71.41,1155.69,15743.1
Jalpaiguri,4984.71,3002.85,3703.47,64.32,1043.0,7749.32
Jhargram,2111.22,2847.49,2622.84,33.64,804.66,6274.99
Kalimpong,326.22,350.84,409.34,37.26,115.45,875.63
Kolkata,50077.58,696.83,19914.39,172.68,8389.78,29000.99
Malda,8686.6,6875.22,3582.04,61.92,3571.07,14028.33
Murshidabad,10618.46,9042.7,8852.53,50.95,2946.98,20842.21
Nadia,10302.27,6977.92,8469.2,58.99,2018.56,17465.68
North 24 Parganas,15886.22,4503.34,14426.89,69.49,3931.88,22862.1
Paschim Bardhaman,5329.97,369.69,8648.52,55.59,570.34,9588.55
Paschim Medinipur,9902.68,10955.53,6939.96,49.33,2176.92,20072.41
Purba Bardhaman,6806.25,9112.52,6846.23,38.22,1851.04,17809.79
Purba Medinipur,8815.93,7333.65,6391.59,55.83,2066.3,15791.55
Purulia,5705.48,3884.17,3740.0,62.21,1547.48,9171.64
South 24 Parganas,12540.25,5392.56,10746.4,67.3,2495.39,18634.35
Uttar Dinajpur,4312.52,3953.97,1472.78,63.81,1331.87,6758.62
