district,amount,mm_claimed_no,mm_disbursed_no,of_achievement_mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2023_24_no,target_for_2023_24_no
Alipurduar,23.26,52.0,36.0,18.0,37.0,73.0,164.0,200.0
Bankura,15.46,35.0,22.0,12.94,40.0,55.0,135.0,170.0
Birbhum,21.32,108.0,68.0,27.2,138.0,121.0,352.0,250.0
Cooch Behar,21.29,90.0,60.0,24.0,127.0,137.0,389.0,250.0
Dakshin Dinajpur,7.96,23.0,12.0,9.6,20.0,27.0,68.0,125.0
Darjeeling,19.4,44.0,25.0,14.71,58.0,68.0,154.0,170.0
Hooghly,18.96,53.0,27.0,18.0,66.0,73.0,237.0,150.0
Howrah,13.62,94.0,48.0,19.2,106.0,128.0,370.0,250.0
Jalpaiguri,13.85,45.0,25.0,12.5,51.0,60.0,176.0,200.0
Kalimpong,8.14,19.0,11.0,11.0,27.0,28.0,66.0,100.0
Kolkata,6.73,11.0,5.0,5.0,25.0,11.0,78.0,100.0
Malda,21.45,62.0,28.0,16.0,78.0,142.0,303.0,175.0
Murshidabad,47.29,205.0,120.0,36.92,155.0,181.0,420.0,325.0
Nadia,33.89,64.0,43.0,25.29,124.0,76.0,260.0,170.0
Paschim Bardhaman,2.13,6.0,2.0,2.0,9.0,10.0,26.0,100.0
Paschim Medinipur,18.63,60.0,34.0,20.0,59.0,73.0,277.0,170.0
Purba Medinipur,68.05,380.0,287.0,48.48,118.0,436.0,1045.0,592.0
Purulia,15.43,53.0,28.0,16.47,60.0,48.0,159.0,170.0
Uttar Dinajpur,4.99,6.0,4.0,3.2,37.0,12.0,88.0,125.0
