district,no_of_financial_literacy_centres_flcs_june_20_21_i_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc_ii_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_beneffic_iaries_ii_no
Almora,1,0,0
Bageshwar,1,0,0
Chamoli,1,2,66
Champawat,1,2,63
Dehradun,1,12,264
Haridwar,1,3,51
Nainital,2,4,208
Pauri Garhwal,1,0,0
Pithoragarh,1,2,65
Rudraprayag,1,0,0
Tehri Garhwal,2,6,48
Udham Singh Nagar,2,0,0
Uttarkashi,1,0,0
